class	1-CA2a	1-CH2a	1-Ea	1-PA2a	1-PH1a	2-CA2a	2-CH1b	2-Ea	2-PA1b	2-PH2a	3-CA1b	3-CH2a	3-Eb	3-PA1a	3-PH1b	4-CA1a	4-CH1a	4-Ea	4-PA2a	4-PH1b	blank-060823STillcus515F	mock-060823STillcus515F	
bacillariophyceae	0.0760211689716674951024823800	0.0029388426837511388015399500	0.0909250894585557576113099100	0.0176782557454331172657631100	0.0032988058322887114864419100	0.0264565818096301957787053900	0	0.2651738361814967589864466700	0	0	0	0	0.0058190282222868780913587400	0.1569607277852520981485040700	0	0.0294065753102393695230253500	0	0.18040932213415355495090500	0	0.0030270008475602373168664500	0	0
coscinodiscophyceae	0.0116955644571796146311511400	0	0	0	0	0	0	0.1443724219210371243370654100	0	0	0	0	0	0	0	0	0	0.289837927363066366970306400	0	0	0	0
eurotiomycetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0646944656825266129506557700	0	0	0	0	0	0
anthozoa	0.7134294318879564925002192900	1.3459899491580215711052987300	0.5719481433683346043292074900	3.730111962286387743076016500	0.1286534274592597479712344100	1.2463989652536892233523428800	0	3.9864466705951679434295816100	1.4947368421052631578947368400	0.0029848964240940839352874500	0.4669006126211859870338428600	2.1996961906987613928487964500	1.6816991562409077684026767500	1.2909219040297264398744314200	0.0059431831689052656602876500	6.210668705522554843262953600	1.372800	5.8292913758428960132497338200	12.912104172832198875406925130	0	0	0
mediophyceae	0.0789450600859623987602701700	0	0	0	0	0	0	0.0235710076605774896876841500	0.0120300751879699248120300800	0	0	0	0.0523712540005819028222286900	0.0448459222243577423281440200	0	0.0058813150620478739046050700	0	0.0680231870341890453093576200	0	0	0	0
fusobacteriia	0.0029238911142949036577877800	0	0.0087992022056666862204493500	0	0.0065976116645774229728838200	0	61.288976331008167888869015680	0	0.1263157894736842105263157900	0.367142260163572324040355800	0.0089216677570927258668887200	0	0.020366598778004073319755600	0	15.844526328301438250326875070	0	0	0	0	19.297130403196512895023610610	0.0619341138997847052231102700	0
lentisphaeria	0	0.0264495841537602492138595800	0	0	0.0197928349937322689186514500	0.0058792404021400435063789800	0	0	0	0	0	0.2044870296798317363870063100	0	0	0	0	0.025600	0	0	0	0	0
clostridia	0.0204672378000643256045144900	0.0235107414700091104123196300	0	0.1119622863877430760164997100	30.095005607969914890809526950	0	2.7663506826447266440112084900	0	0.2947368421052631578947368400	10.241179631066801981971225600	0.0267650032712781776006661500	0.0993222715587754148165459200	0.0058190282222868780913587400	0.7431609968607854442949580400	0.023772732675621062641150600	0	1.043200	0	0.171648416691328795501627700	7.455503087540864511442063200	0	0
epsilonproteobacteria	0.0204672378000643256045144900	0.0058776853675022776030799100	0	0	0.0890677574717952101339315200	0.0911282262331706743488741300	0	0	0	0	0.1962766906560399690715517800	0.0292124328114045337695723300	0	0.0064065603177653917611634300	0.0267443242600736954712944300	0	0.067200	0	0	0.0030270008475602373168664500	0	0
bacteroidia	0.0058477822285898073155755700	0.0352661122050136656184794400	0	0.0412492634060106069534472600	2.2003034901365705614567526600	0.0088188606032100652595684600	8.355690693376259464615751510	0	0.0721804511278195488721804500	4.8653811712733568145185362100	0.0118955570094569678225182900	0.0204487029679831736387006300	0	0.0320328015888269588058171600	1.1292048020920004754546535100	0.0264659177792154325707228100	2.060800	0	0.0503107428233205090263391500	3.9229930984380675626589175400	0	0
