class	1-CA2a	1-CH2a	1-Ea	1-PA2a	1-PH1a	2-CA2a	2-CH1b	2-Ea	2-PA1b	2-PH2a	3-CA1b	3-CH2a	3-Eb	3-PA1a	3-PH1b	4-CA1a	4-CH1a	4-Ea	4-PA2a	4-PH1b	blank-060823STillcus515F	mock-060823STillcus515F	
bacillariophyceae	26	1	31	6	1	9	0	90	0	0	0	0	2	49	0	10	0	61	0	1	0	0
coscinodiscophyceae	4	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	98	0	0	0	0
eurotiomycetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0
anthozoa	244	458	195	1266	39	424	0	1353	497	1	157	753	578	403	2	2112	429	1971	4363	0	0	0
mediophyceae	27	0	0	0	0	0	0	8	4	0	0	0	18	14	0	2	0	23	0	0	0	0
fusobacteriia	1	0	3	0	2	0	20560	0	42	123	3	0	7	0	5332	0	0	0	0	6375	21	0
lentisphaeria	0	9	0	0	6	2	0	0	0	0	0	70	0	0	0	0	8	0	0	0	0	0
clostridia	7	8	0	38	9123	0	928	0	98	3431	9	34	2	232	8	0	326	0	58	2463	0	0
epsilonproteobacteria	7	2	0	0	27	31	0	0	0	0	66	10	0	2	9	0	21	0	0	1	0	0
bacteroidia	2	12	0	14	667	3	2803	0	24	1630	4	7	0	10	380	9	644	0	17	1296	0	0
oligoflexia	0	0	0	7	1	9	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
deinococci	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0
spirochaetia	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
conoidasida	6	6	0	30	0	26	0	18	86	0	5	81	10	9	0	48	16	31	55	0	0	0
deltaproteobacteria	1	21	64	2740	8	54	25	22	1	9	0	0	72	1249	4	0	22	96	0	35	0	0
betaproteobacteria	0	12	7	22	4	3	0	18	7	0	3	30	0	104	0	68	6	97	53	0	1316	1
methanobacteria	0	0	0	5	26	0	0	0	31	0	0	0	0	90	0	0	0	0	0	0	0	0
hydrogenophilalia	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0
saprospiria	14	13	0	0	6	3	0	0	23	0	0	5	0	48	0	21	30	25	58	0	0	0
mollicutes	0	0	0	0	11	12	0	36	34	1	32	0	5	21	0	4	0	4	5	1	0	0
cyanobacteria	0	1	63	0	0	0	0	58	0	0	0	7	10	1255	0	0	9	25	50	0	0	0
fragilariophyceae	3	1	0	7	0	0	0	251	27	0	0	0	0	6	0	0	0	199	0	0	0	0
planctomycetia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0
actinomycetia	0	0	2	7	0	0	0	21	0	0	0	0	0	0	0	8	0	13	37	0	13	0
ulvophyceae	44	108	204	1522	30	651	0	224	288	34	167	2254	0	92	2	3664	48	162	315	1	0	0
verrucomicrobiae	0	0	0	0	0	0	0	17	0	0	0	112	0	3	0	0	0	0	0	0	0	0
florideophyceae	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gammaproteobacteria	33636	32620	33309	28054	20196	32282	9210	31507	31391	28187	31947	30387	33657	26322	27886	27572	27020	29214	27613	22845	31776	3977
bacilli	10	1	5	29	0	1	0	29	2	1	0	16	4	0	0	72	1	31	53	0	61	25278
alphaproteobacteria	153	597	98	191	153	488	20	185	652	68	1227	447	5	1307	29	337	2667	1646	1113	18	720	0
cytophagia	0	0	16	0	12	6	0	0	12	17	0	0	0	0	0	8	0	37	0	0	0	0
flavobacteriia	16	157	0	2	2	14	0	0	31	0	1	19	0	2	0	49	3	69	0	0	0	0
