identity	1-CA2a	1-CH2a	1-Ea	1-PA2a	1-PH1a	2-CA2a	2-CH1b	2-Ea	2-PA1b	2-PH2a	3-CA1b	3-CH2a	3-Eb	3-PA1a	3-PH1b	4-CA1a	4-CH1a	4-Ea	4-PA2a	4-PH1b	blank-060823STillcus515F	mock-060823STillcus515F	
lewinellaceae	0.0176668040751428066662740700	0.0178656503096712720343020500	0	0	0.0033030553261767134599504500	0	0	0	0.070190429687500	0	0	0	0	0.1557531312869102472580959200	0	0	0.0973204437812236423798092500	0.0783969393834864686882624100	0.1961115807269653423499577300	0	0	0
shimia marina	0.0588893469171426888875802400	0.1071939018580276322058122900	0	0.0305726252713320492830719400	0.0264244426094137076796036300	0.2916145926322680473724930100	0	0	0.07934570312500	0.0089549565684606429658816200	0.8544199802826158396319421600	0.1880821590637688082159063800	0	0.1168148484651826854435719400	0.0029717682020802377414561700	0.0219003222475987860964239900	3.6397845974177642250048660200	0	0.1183431952662721893491124300	0.0030270008475602373168664500	0	0
photobacterium rosenbergii	0.0058889346917142688887580200	0.0029776083849452120057170100	0	0	0.0033030553261767134599504500	0	0.0327907947296249925475466500	0	0.076293945312500	0.4119280021491895764305543100	0.0149374122427030741194395500	0	0	0	0.0505200594353640416047548300	0	0.0454162070979043664439109800	0	0.0236686390532544378698224900	0.0393510110182830851192638300	0	0
enterococcus faecium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5366420563303254033360678200
thalassotalea agarivorans	0	0.0089328251548356360171510200	0	0	0.079273327828241123038810900	0.0446348866273879664345652600	0	0	0.195312500	0.0059699710456404286439210800	0.0448122367281092223583186400	0	0	0	0	0.0344147921033695210086662700	0.4087458638811392979951988600	0	0	0	0	0
sagittula stellata	0.0618338142629998233319592500	0.1012386850881372081943782800	0.0058990089664936290703161900	0.0305726252713320492830719400	0.0165152766308835672997522700	0.2112717967029697077902755500	0.0029809813390568175043224200	0	0.198364257812500	0.0298498552282021432196053800	0.4660472619723359125265139100	0.1403152615237640315261523800	0	0.2076708417158803296774612200	0.0118870728083209509658246700	0.0250289397115414698244845600	0.7299033283591773178485693900	0.0188152654520367524851829800	0.1386306001690617075232459800	0.0090810025426807119505993500	0	0
haliea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.090940449684844303678384400	0	0	0	0
candidatus pelagibacter	0	0.0297760838494521200571700800	0	0	0	0	0	0.0091945568223611621919823500	0	0	0	0	0	0	0	0.0438006444951975721928479800	0	0.0627175515067891749506099300	0	0	0	0
cellvibrionaceae	0.0706672163005712266650962800	0.0297760838494521200571700800	0	0.0152863126356660246415359700	0.042939719240297274979355900	0.1606855918585966791644349200	0	0	0.03051757812500	0	0.1493741224270307411943954800	0.0895629328875089562932887500	0	0.0227139983126744110584723200	0	0.0187717047836561023683634200	0.450918056186336209693116200	0	0	0.0030270008475602373168664500	0	0
pseudoalteromonas phenolica	0	0.0119104335397808480228680300	0	0.0061145250542664098566143900	0.0990916597853014037985136300	0.0029756591084925310956376800	0.0029809813390568175043224200	0.0275836704670834865759470400	0.015258789062500	0	0.0059749648970812296477758200	0	0	0	0	0	0.0194640887562447284759618500	0	0.0033812341504649196956889300	0	0	0
conoidasida	0.0176668040751428066662740700	0.0178656503096712720343020500	0	0.0917178758139961478492158100	0	0.0773671368208058084865797800	0	0.0551673409341669731518940800	0.26245117187500	0	0.0149374122427030741194395500	0.2418199187962741819918796300	0.0295884250081368168772376200	0.0292037121162956713608929800	0	0.1501736382692488189469073600	0.0519042366833192759358982700	0.0972122048355232211734453900	0.1859678782755705832628909600	0	0	0
colwelliaceae	0	0	0	0	0	0	0	0	0	0	0.029874824485406148238879100	0.0029854310962502985431096300	0	0	0	0	0.6423149289560760397067410600	0	0	0	0	0
lentisphaeria	0	0.0059552167698904240114340200	0	0	0.0198183319570602807597027300	0.0059513182169850621912753700	0	0	0	0	0	0.1283735371387628373537138800	0	0	0	0	0	0	0	0	0	0
diatoma tenuis	0.0029444673458571344443790100	0	0	0.0214008376899324344981503600	0	0	0	0.5945813411793551550815250700	0	0	0	0	0	0	0	0	0	0.5487785756844052808178368700	0	0	0	0
bacillus subtilis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.632075471698113207547169810
proteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2887922642611460834577195100	0	0	0	0	0	0	0	0
tropicimonas sediminicola	0.0117778693834285377775160500	0.0387089090042877560743211100	0	0	0.0066061106523534269199009100	0.0238052728679402487651014700	0	0	0.04272460937500	0.0029849855228202143219605400	0.0507872016251904520060944600	0.0149271554812514927155481300	0.0059176850016273633754475200	0.0389382828217275618145239800	0	0.0125144698557707349122422800	0.0616362810614416401738791900	0	0.0304311073541842772612003400	0	0	0
lentisphaerales	0	0.0208432586946164840400190600	0	0	0	0	0	0	0	0	0	0.0806066395987580606639598800	0	0	0	0	0.0259521183416596379679491300	0	0	0	0	0
neptuniibacter	0.0088334020375714033331370400	0.0029776083849452120057170100	0	0.0305726252713320492830719400	0.4657308009909165978530140400	0.0238052728679402487651014700	0	0	0.125122070312500	0	0.122486780390165207779404300	0.0089562932887508956293288800	0	0.194691414108637809072619900	0	0	0.0194640887562447284759618500	0	0.0169061707523245984784446300	0	0	0
schleiferiaceae	0.0235557387668570755550320900	0.2918056217246307765602667900	0	0.0061145250542664098566143900	0	0.0059513182169850621912753700	0	0	0	0	0	0	0	0.0032448569018106301512103300	0	0	0.0097320443781223642379809300	0	0	0	0	0
pirellulaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0313587757533945874753049600	0	0	0	0
desulfobacterales	0	0	0.0294950448324681453515809300	8.376899324344981503561710840	0	0.1398559780991489614949711400	0	0	0	0	0	0	0.213036660058585081516110900	3.9165422804854305925108702700	0.0118870728083209509658246700	0	0.0551482514760267306818919100	0.3010442472325880397629276600	0	0	0	0
bradyrhizobium lupini	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1356652018757188781077653600	0
vibrio rumoiensis	0	0	0	0.0122290501085328197132287700	3.0222956234516928158546655700	0.0267809319764327798607391500	0.143087104274727240207476300	0	0	1.2895137458583325870869526300	0	0	0	0.0194691414108637809072619900	0.0118870728083209509658246700	0	0.0356841627197820022059300600	0	0	0.7234532025668967187310812400	0	0
bacillus megaterium	0.0029444673458571344443790100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.5358217117856166256494394300
novosphingobium subarcticum	0.0058889346917142688887580200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0766803314949715398000412900	0
hyphomonas neptunium	0.0235557387668570755550320900	0.0506193425440686040971891400	0.0176970268994808872109485600	0.0152863126356660246415359700	0.0396366639141205615194054500	0.035707909301910373147652200	0	0	0.497436523437500	0.0029849855228202143219605400	0.0089624473456218444716637300	0.0268688798662526868879866300	0	0.1168148484651826854435719400	0	0	0.0551482514760267306818919100	0	0.1724429416737109044801352500	0	0	0
pseudomonadaceae	0	0.0029776083849452120057170100	0	0	0	0	0	0	0	0	0	0	0.0059176850016273633754475200	0.0064897138036212603024206600	0	0	0	0.0815328169588259274357929100	0	0	0	0
aeromonadaceae	0	0	0	0	0.4822460776218001651527663100	0	0	0	0.0122070312500	0.0805946091161457866929345400	0	0	0	0.0259588552144850412096826500	0.4606240713224368499257057900	0	0	0	0	0.1846470517011744763288533700	0	0
microbulbifer maritimus	0	0	0	0	0	0	0	0.0858158636753708471251685700	0	0	0	0	0	0	0	0	0	0	0	0	0	0
marinobacteraceae	0	0.0089328251548356360171510200	0	0	0	0	0	0	0	0	0	0.0089562932887508956293288800	0	0	0	0.0093858523918280511841817100	0.0291961331343670927139427800	0	0	0	0	0
eubacteriales family xii. incertae sedis	0.0088334020375714033331370400	0.0059552167698904240114340200	0	0.0580879880155308936378366800	29.552436003303055326176713460	0	0.0894294401717045251296726900	0	0.09155273437500	3.9133160204173009760902659600	0	0.0865775017912586577501791300	0.0059176850016273633754475200	0.0097345707054318904536309900	0	0	0.2789852721728411081554531900	0	0.0710059171597633136094674600	5.1882794527182467611090931100	0	0
corynebacterium tuberculostearicum	0	0	0	0.0214008376899324344981503600	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0188152654520367524851829800	0	0	0.0147462175951868345769310200	0
leptotrichia wadei	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0619341138997847052231102700	0
algicola bacteriolytica	0	0.0178656503096712720343020500	0	0	0.0033030553261767134599504500	0.0119026364339701243825507300	0	0.0091945568223611621919823500	0.021362304687500	0	0.0059749648970812296477758200	0.0149271554812514927155481300	0	0	0	0.0062572349278853674561211400	0	0	0	0	0	0
endozoicomonas elysicola	0	0	0.0176970268994808872109485600	0	0	0.0476105457358804975302029400	0	0.257447591026112541375505700	0.033569335937500	0	0	0	0.0384649525105778619404089100	0	0	0.0438006444951975721928479800	0.0064880295854149094919872800	0	0	0	0	0
desulfobacteraceae	0	0	0	0	0.0264244426094137076796036300	0	0.0745245334764204376080605700	0	0.003051757812500	0.0268648697053819288976448500	0	0	0	0	0	0	0.0032440147927074547459936400	0	0	0.0030270008475602373168664500	0	0
fluviicola	0	0.1399475940924249642686993800	0	0	0	0.0267809319764327798607391500	0	0	0	0	0	0	0	0	0	0.093858523918280511841817100	0	0	0	0	0	0
marinobacterium jannaschii	0.0058889346917142688887580200	0.0148880419247260600285850400	0	0.0152863126356660246415359700	0.280759702725020644095788600	0.0892697732547759328691305100	0	0	0.195312500	0.0149249276141010716098026900	0.4929346040092014459415050900	0.0776212085025077621208502500	0	0.1979362710104484392238302300	0.0029717682020802377414561700	0	1.5571271004995782780769480300	0	0.1893491124260355029585798800	0.0030270008475602373168664500	0	0
maricurvus nonylphenolicus	0.0117778693834285377775160500	0.0029776083849452120057170100	0	0.0152863126356660246415359700	0.0297274979355904211395540900	0	0	0	0	0	0.0059749648970812296477758200	0	0	0.0908559932506976442338892900	0	0	0.1589567248426652825536884400	0	0.0304311073541842772612003400	0	0	0
thalassobius aestuarii	0.0088334020375714033331370400	0.0476417341591233920914721300	0	0	0.0231213872832369942196531800	0.0297565910849253109563768400	0	0	0.0122070312500	0	0.0029874824485406148238879100	0.0029854310962502985431096300	0	0.0129794276072425206048413300	0	0.0093858523918280511841817100	0.0129760591708298189839745700	0	0	0	0	0
desulforhopalus	0	0	0.0501415762151958470976875900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
planifilum fimeticola	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0912933220625528317836010100	0	0	0
bacteroidetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0658534290821286336981404200	0	0	0	0
spirulina subsalsa	0	0	0.0648890986314299197734780600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
methylobacterium tardum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0501371398236352375615654600	0
clostridiaceae	0.0117778693834285377775160500	0.0029776083849452120057170100	0	0.0030572625271332049283071900	0.432700247729149463253509500	0	2.5845108209622607762475406900	0	0.09155273437500	1.0895197158293782275155965500	0.0089624473456218444716637300	0.0089562932887508956293288800	0	0.6651956648711791809981179800	0.0029717682020802377414561700	0	0.1686887692207876467916693700	0	0	2.1764136093958106308269766300	0	0
halomicronema metazoicum	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4120968265299500292037121200	0	0	0	0	0	0	0	0
endozoicomonas montiporae	97.52370296213414993227725105	94.74452120057170080990948071	97.83211420481359131665880132	79.73952123268825094010822709	26.761354252683732452518579690	91.03433910611200380884365887	0	92.80372686036533039107515018	64.334106445312500	0.0029849855228202143219605400	83.72120813790218982463478027	87.55672319082875567231908288	99.24549516229251116963044057	49.237458628074501914465572070	0.0148588410104011887072808300	81.82586115195695022369614867	1.6803996626224615584247064200	87.42826680046410988115023989	70.471682163989856297548605240	0	0	0
cohaesibacter marisflavi	0	0.0238208670795616960457360600	0	0.0122290501085328197132287700	0	0	0.0059619626781136350086448500	0	0	0	0	0	0	0	0.0029717682020802377414561700	0	0.0356841627197820022059300600	0	0	0.0030270008475602373168664500	0	0
aestuariivita rhodobacteraceae bacterium	0.0088334020375714033331370400	0	0	0	0	0.0089269773254775932869130500	0	0	0.015258789062500	0	0.0059749648970812296477758200	0.011941724385001194172438500	0	0	0	0	0.0259521183416596379679491300	0	0	0	0	0
halomonadaceae	0.0088334020375714033331370400	0.0565745593139590281086231500	0	0.0428016753798648689963007100	0.0264244426094137076796036300	0.0535618639528655597214783100	0	0	0.112915039062500	0	0.1135243330445433633077405700	0.0537377597325053737759732500	0	0.0032448569018106301512103300	0	0	0.2595211834165963796794913400	0	0.0236686390532544378698224900	0	0	0
asterionella glacialis	0	0.0029776083849452120057170100	0	0	0	0	0	0	0.057983398437500	0	0	0	0	0	0	0	0	0	0	0	0	0
bacillus licheniformis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.1089691003554826360404703300
delftia tsuruhatensis	0	0	0.0029495044832468145351580900	0.0275153627441988443547647400	0.0033030553261767134599504500	0.0089269773254775932869130500	0	0	0	0	0.0029874824485406148238879100	0.0059708621925005970862192500	0	0.0064897138036212603024206600	0	0.0438006444951975721928479800	0.0097320443781223642379809300	0	0.0912933220625528317836010100	0	0.7019199575308933258619164200	0
