species	1-CA2a	1-CH2a	1-Ea	1-PA2a	1-PH1a	2-CA2a	2-CH1b	2-Ea	2-PA1b	2-PH2a	3-CA1b	3-CH2a	3-Eb	3-PA1a	3-PH1b	4-CA1a	4-CH1a	4-Ea	4-PA2a	4-PH1b	blank-060823STillcus515F	mock-060823STillcus515F	
shimia marina	0.0584778222858980731557556800	0.1057983366150409968554383300	0	0.0294637595757218621096051900	0.0263904466583096918915352600	0.2880827797048621318125698200	0	0	0.0781954887218045112781954900	0.0089546892722822518058623400	0.8505323261761731993100576900	0.1840383267118485627483056800	0	0.1153180857197770517009417600	0.0029715915844526328301438300	0.0205846027171675586661177400	3.590400	0	0.103580941106836342113051200	0.0030270008475602373168664500	0	0
photobacterium rosenbergii	0.0058477822285898073155755700	0.0029388426837511388015399500	0	0	0.0032988058322887114864419100	0	0.0327907947296249925475466500	0	0.0751879699248120300751879700	0.4119157065249835830696674800	0.0148694462618212097781478600	0	0	0	0.0505170569356947581124450300	0	0.044800	0	0.0207161882213672684226102400	0.0393510110182830851192638300	0	0
enterococcus faecium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5366420563303254033360678200
thalassotalea agarivorans	0	0.0088165280512534164046198600	0	0	0.0791713399749290756746057900	0.0440943030160503262978423200	0	0	0.192481203007518796992481200	0.0059697928481881678705748900	0.0446083387854636293344435900	0	0	0	0	0.0323472328412633064753278800	0.403200	0	0	0	0	0
sagittula stellata	0.0614017134001929768135434600	0.0999206512475387192523584200	0.005866134803777790813632900	0.0294637595757218621096051900	0.0164940291614435574322095400	0.2087130342759715444764536400	0.0029809813390568175043224200	0	0.1954887218045112781954887200	0.0298489642409408393528744600	0.4639267233688217450782132900	0.1372984342136013087169899500	0	0.205009930168492536357229800	0.011886366337810531320575300	0.0235252602481914956184202800	0.7200	0.017745179226310185732875900	0.1213376738680082864752885500	0.0090810025426807119505993500	0	0
azotobacter vinelandii	0	0.0029388426837511388015399500	0	0	0	0	0	0	0	0	0	0	0.0058190282222868780913587400	0.0064065603177653917611634300	0	0	0	0.0768957766473441381757955800	0	0	0	0
hyphomicrobium hollandicum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0947025747262503699319325200	0	0	0
pseudoalteromonas phenolica	0	0.0117553707350045552061598100	0	0.0058927519151443724219210400	0.0989641749686613445932572400	0.0029396202010700217531894900	0.0029809813390568175043224200	0.0265173836181496758986446700	0.0150375939849624060150375900	0	0.0059477785047284839112591400	0	0	0	0	0	0.019200	0	0.0029594554601953240603728900	0	0	0
arenibacter nanhaiticus	0.017543346685769421946726700	0.0146942134187556940076997700	0	0	0	0.0088188606032100652595684600	0	0	0	0	0	0	0	0.0032032801588826958805817200	0	0.0205846027171675586661177400	0	0	0	0	0	0
gilvimarinus chinensis	0.0701733867430776877869068200	0.0293884268375113880153995400	0	0.0147318797878609310548025900	0.0263904466583096918915352600	0.1499206302545711094126638800	0	0	0.0300751879699248120300751900	0	0.1130077915898411943139237500	0.0438186492171068006543584900	0	0.0224229611121788711640720100	0	0.0176439451861436217138152100	0.348800	0	0	0.0030270008475602373168664500	0	0
lentisphaera araneosa	0	0.0264495841537602492138595800	0	0	0.0197928349937322689186514500	0.0058792404021400435063789800	0	0	0	0	0	0.2044870296798317363870063100	0	0	0	0	0.025600	0	0	0	0	0
diatoma tenuis	0.0029238911142949036577877800	0	0	0.0206246317030053034767236300	0	0	0	0.571596935769004124926340600	0	0	0	0	0	0	0	0	0	0.5175677274340470838755471400	0	0	0	0
poriferibacter numazuense	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1656216727788950668401750900	0	0	0	0
methylophaga marina	0.0058477822285898073155755700	0.0999206512475387192523584200	0	2.4395992928697701826753093700	6.4326713729629873985617206600	0	0	0	16.081203007518796992481203010	0.1910333711420213718583965100	0	0	0	23.733102697161893779229931450	0.9271365743492214430048734100	0	0	0	10.216040248594258656407221070	0.4207531178108729870444363700	0	0
tropicimonas sediminicola	0.0116955644571796146311511400	0.038204954888764804420019400	0	0	0.0065976116645774229728838200	0.023516961608560174025515900	0	0	0.0421052631578947368421052600	0.0029848964240940839352874500	0.0505561172901921132457027300	0.0146062164057022668847861600	0.0058190282222868780913587400	0.0384393619065923505669805900	0	0.0117626301240957478092101400	0.060800	0	0.0266350991417579165433560200	0	0	0
