family	1-CA2a	1-CH2a	1-Ea	1-PA2a	1-PH1a	2-CA2a	2-CH1b	2-Ea	2-PA1b	2-PH2a	3-CA1b	3-CH2a	3-Eb	3-PA1a	3-PH1b	4-CA1a	4-CH1a	4-Ea	4-PA2a	4-PH1b	blank-060823STillcus515F	mock-060823STillcus515F	
cymatosiraceae	0	0	0	0	0	0	0	0.4014049172102358253888610100	0.4434589800443458980044345900	0	0	0	2.1381578947368421052631578900	1.3961605584642233856893542800	0	0.0341413451689996585865483100	0	0.3929273084479371316306483300	0	0	0	0
thalassiosiraceae	0	0	0	0	0	0	0	0.6021073758153537380832915200	0	0	0	0	0	0	0	0	0	3.5363457760314341846758349700	0	0	0	0
verrucariaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3755547968589962444520314100	0	0	0	0	0	0
rhodomelaceae	0	0	15.851272015655577299412915850	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bryopsidaceae	12.429378531073446327683615820	18.815331010452961672473867600	39.921722113502935420743639920	53.761921582479689155775344400	42.857142857142857142857142860	58.648648648648648648648648650	0	11.239337681886603110888108380	31.929046563192904656319290470	97.14285714285714285714285714	50.759878419452887537993920970	72.992227979274611398963730570	0	16.055846422338568935427574170	50.0	62.546944349607374530556503930	9.736308316430020283975659230	6.3654223968565815324165029500	6.6553982674836256074371434600	50.0	0	0
attheyaceae	1.1299435028248587570621468900	0	0	0	0	0	0	1.8564977420973406924234821900	0	0	0	0	0	0	0	0	0	0.3143418467583497053045186600	0	0	0	0
actiniidae	68.926553672316384180790960450	79.79094076655052264808362369	38.160469667318982387475538160	44.719180501589544330625220770	55.714285714285714285714285710	38.198198198198198198198198200	0	67.887606623181133968891118920	55.099778270509977827050997780	2.8571428571428571428571428600	47.720364741641337386018237080	24.384715025906735751295336790	95.06578947368421052631578947	70.331588132635253054101221640	50.0	36.053260498463639467395015360	87.01825557809330628803245436	77.445972495088408644400785850	92.18254806676526515951827593	0	0	0
fragilariaceae	0.8474576271186440677966101700	0.1742160278745644599303135900	0	0.2472624514305898975626986900	0	0	0	12.594079277471149021575514300	2.9933481152993348115299334800	0	0	0	0	1.0471204188481675392670157100	0	0	0	7.8192534381139489194499017700	0	0	0	0
naviculaceae	3.672316384180790960451977400	0	1.3698630136986301369863013700	0	1.4285714285714285714285714300	0	0	3.8635223281485198193677872600	0	0	0	0	0	2.268760907504363001745200700	0	0	0	1.3752455795677799607072691600	0	50.0	0	0
bacillariaceae	3.672316384180790960451977400	0.1742160278745644599303135900	4.696673189823874755381604700	0.2119392440833627693394560200	0	0.8108108108108108108108108100	0	0.6522829904666332162568991500	0	0	0	0	0.3289473684210526315789473700	6.2827225130890052356020942400	0	0.1707067258449982929327415500	0	1.0216110019646365422396856600	0	0	0	0
parodontellaceae	0.5649717514124293785310734500	0	0	0	0	0	0	0	0	0	0	0	0.8223684210526315789473684200	1.0471204188481675392670157100	0	0	0	0.5108055009823182711198428300	0	0	0	0
toxariaceae	7.0621468926553672316384180800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sarcocystidae	1.6949152542372881355932203400	1.0452961672473867595818815300	0	1.0596962204168138466972801100	0	2.3423423423423423423423423400	0	0.9031610637230306071249372800	9.534368070953436807095343680	0	1.5197568389057750759878419500	2.6230569948186528497409326400	1.6447368421052631578947368400	1.5706806282722513089005235600	0	0.8193922840559918060771594400	3.2454361054766734279918864100	1.2180746561886051080550098200	1.162053665751109233044580600	0	0	0
