identity	1-CA2a	1-CH2a	1-Ea	1-PA2a	1-PH1a	2-CA2a	2-CH1b	2-Ea	2-PA1b	2-PH2a	3-CA1b	3-CH2a	3-Eb	3-PA1a	3-PH1b	4-CA1a	4-CH1a	4-Ea	4-PA2a	4-PH1b	blank-060823STillcus515F	mock-060823STillcus515F	
conoidasida	9.090909090909090909090909090	75.00	0	69.767441860465116279069767440	0	74.285714285714285714285714290	0	4.3269230769230769230769230800	73.504273504273504273504273500	0	100	100	33.333333333333333333333333330	11.538461538461538461538461540	0	80.0	100	7.5242718446601941747572815500	100	0	0	0
diatoma tenuis	1.5151515151515151515151515200	0	0	16.279069767441860465116279070	0	0	0	46.634615384615384615384615380	0	0	0	0	0	0	0	0	0	42.475728155339805825242718450	0	0	0	0
asterionella glacialis	0	12.500	0	0	0	0	0	0	16.239316239316239316239316240	0	0	0	0	0	0	0	0	0	0	0	0	0
polysiphonia scopulorum	0	0	72.321428571428571428571428570	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
trieres chinensis	3.0303030303030303030303030300	0	0	0	0	0	0	0	0	0	0	0	16.666666666666666666666666670	7.6923076923076923076923076900	0	0	0	3.1553398058252427184466019400	0	0	0	0
asterionellopsis glacialis	3.0303030303030303030303030300	0	0	0	0	0	0	13.701923076923076923076923080	6.8376068376068376068376068400	0	0	0	0	7.6923076923076923076923076900	0	0	0	5.8252427184466019417475728200	0	0	0	0
bacillaria paxillifer	19.696969696969696969696969700	12.500	21.428571428571428571428571430	13.953488372093023255813953490	0	25.714285714285714285714285710	0	3.12500	0	0	0	0	6.6666666666666666666666666700	46.153846153846153846153846150	0	16.666666666666666666666666670	0	6.3106796116504854368932038800	0	0	0	0
navicula lanceolata	19.696969696969696969696969700	0	6.2500	0	100	0	0	18.509615384615384615384615380	0	0	0	0	0	16.666666666666666666666666670	0	0	0	8.495145631067961165048543690	0	100	0	0
cymatosira belgica	0	0	0	0	0	0	0	1.9230769230769230769230769200	3.4188034188034188034188034200	0	0	0	43.333333333333333333333333330	10.256410256410256410256410260	0	3.3333333333333333333333333300	0	2.4271844660194174757281553400	0	0	0	0
thalassiosira eccentrica	0	0	0	0	0	0	0	2.8846153846153846153846153800	0	0	0	0	0	0	0	0	0	21.844660194174757281553398060	0	0	0	0
attheya septentrionalis	6.0606060606060606060606060600	0	0	0	0	0	0	8.894230769230769230769230770	0	0	0	0	0	0	0	0	0	1.9417475728155339805825242700	0	0	0	0
toxarium	37.878787878787878787878787880	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
