family	1-CA2a	1-CH2a	1-Ea	1-PA2a	1-PH1a	2-CA2a	2-CH1b	2-Ea	2-PA1b	2-PH2a	3-CA1b	3-CH2a	3-Eb	3-PA1a	3-PH1b	4-CA1a	4-CH1a	4-Ea	4-PA2a	4-PH1b	blank-060823STillcus515F	mock-060823STillcus515F	
hyphomonadaceae	9	17	6	5	12	16	0	0	163	1	3	9	0	251	0	0	17	12	51	0	0	0
pseudoalteromonadaceae	6	21	0	4	94	31	2	12	65	4	105	10	0	3	0	2	278	16	5	1	0	0
oceanospirillaceae	28	92	0	109	1642	233	1	0	1132	65	1092	43	0	1209	7	6	2335	16	195	6	0	0
marinifilaceae	2	12	0	14	667	3	2803	0	24	1630	4	7	0	10	380	9	644	0	17	1296	0	0
thermoactinomycetaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0
bacillaceae	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	7736
crocinitomicaceae	0	47	0	0	0	9	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0
rhodobacteraceae	3	1	0	0	3	3	0	0	5	0	5	9	0	100	0	0	13	0	29	0	0	0
bacteriovoracaceae	0	0	0	7	1	9	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
endozoicomonadaceae	33211	31945	33195	26163	8555	30715	0	30573	21313	1	28449	29423	33627	15560	6	26200	588	28088	20935	0	0	0
hyphomicrobiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0
parvularculaceae	0	0	16	0	0	0	0	0	0	0	0	0	0	147	0	136	7	0	488	0	0	0
ectothiorhodospiraceae	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	3	24	0	0	0	0
burkholderiales	0	2	0	0	0	0	0	1	5	0	0	6	0	1	0	11	3	0	13	0	10	1
halomonadaceae	3	19	0	14	8	18	0	0	37	0	38	18	0	1	0	0	80	0	7	0	0	0
cellulomonadaceae	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0
verrucomicrobiaceae	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cytophagaceae	0	0	0	0	5	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0
spirochaetaceae	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cohaesibacteraceae	0	8	0	4	0	0	2	0	0	0	0	0	0	0	1	0	11	0	0	1	0	0
microbulbiferaceae	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lentisphaeraceae	0	9	0	0	6	2	0	0	0	0	0	70	0	0	0	0	8	0	0	0	0	0
desulfovibrionaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	4	0	0	34	0	0
halieaceae	2	0	16	3	0	0	0	0	0	0	0	0	0	410	0	0	0	56	0	0	0	0
stappiaceae	1	5	1	18	1	1	0	0	25	7	2	1	0	74	3	0	0	5	31	1	0	0
oleiphilaceae	0	2	0	5	3	7	0	0	0	0	1	0	0	1	0	16	18	0	3	0	0	0
methylobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0
colwelliaceae	226	223	0	54	249	276	8	0	580	17	1478	272	0	21	2	95	17639	36	121	7	0	0
archangiaceae	1	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0
arenicellaceae	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aeromonadaceae	0	0	0	0	146	0	0	0	4	27	0	0	0	8	155	0	0	0	0	61	0	0
ferrimonadaceae	0	3	0	11	1354	0	309	0	38	5808	5	8	0	1	4350	0	1377	0	24	4400	2	0
spirulinaceae	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
desulfobacteraceae	0	0	0	0	8	0	25	0	1	9	0	0	0	0	0	0	1	0	0	1	0	0
pseudomonadaceae	0	1	0	24	0	0	0	8	0	0	2	0	2	3	0	23	11	113	37	0	117	1070
lewinellaceae	6	6	0	0	1	0	0	0	23	0	0	0	0	48	0	0	30	25	58	0	0	0
mycoplasmataceae	0	0	0	0	11	4	0	0	29	1	32	0	0	21	0	0	0	0	0	1	0	0
erythrobacteraceae	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	6	0	54	0	0	0
caulobacteraceae	0	0	0	0	0	3	0	0	0	0	3	0	0	0	0	0	9	0	0	0	0	0
maricaulaceae	0	0	0	0	8	1	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0
flammeovirgaceae	0	0	0	0	7	6	0	0	0	17	0	0	0	0	0	8	0	16	0	0	0	0
roseobacteraceae	129	539	28	127	110	449	18	69	393	60	1104	274	5	641	25	147	2508	43	239	14	0	0
geminicoccaceae	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sphingomonadaceae	3	4	6	17	0	10	0	23	0	0	0	10	0	1	0	40	0	1	19	0	603	0
pelagibacteraceae	0	10	0	0	0	0	0	3	0	0	0	0	0	0	0	14	0	20	0	0	0	0
candidatus paracaedibacteraceae	0	5	0	0	0	1	0	0	0	0	1	6	0	2	0	0	0	0	0	0	0	0
pirellulaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0
marivirgaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0
weeksellaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0
trueperaceae	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lactobacillaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4671
fusobacteriaceae	1	0	3	0	2	0	20560	0	42	123	3	0	7	0	5332	0	0	0	0	6375	0	0
enterococcaceae	0	0	0	0	0	0	0	0	2	0	0	0	4	0	0	0	0	0	5	0	10	2687
xanthomonadaceae	0	3	1	18	0	15	0	18	0	0	1	6	1	1	0	30	22	0	35	0	274	1
kordiimonadaceae	8	5	0	12	6	2	0	0	25	0	99	137	0	59	0	0	85	0	170	2	0	0
schleiferiaceae	8	98	0	2	0	2	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0
bacillales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0
litoricolaceae	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	24	0	0	0	0
leptotrichiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0
haliscomenobacteraceae	8	7	0	0	5	3	0	0	0	0	0	5	0	0	0	21	0	0	0	0	0	0
alteromonadaceae	69	105	0	116	1429	611	1	0	2660	64	677	67	4	1495	16	51	1538	0	679	72	0	0
prochlorotrichaceae	0	0	39	0	0	0	0	0	0	0	0	0	0	1254	0	0	0	0	0	0	0	0
thalassospiraceae	0	0	0	0	5	2	0	0	5	0	0	1	0	1	0	0	0	0	0	0	0	0
cellvibrionaceae	28	11	0	10	22	54	0	0	10	0	52	30	0	35	0	6	188	0	9	1	0	0
hydrogenophilaceae	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0
staphylococcaceae	6	1	5	29	0	1	0	17	0	1	0	16	0	0	0	61	1	0	21	0	13	5828
alcaligenaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0
marinobacteraceae	1	5	0	0	18	7	0	0	17	0	13	15	0	21	0	3	19	0	0	0	0	0
rickettsiaceae	0	0	31	0	0	0	0	89	0	0	0	0	0	0	0	0	0	1565	0	0	0	0
thioprofundaceae	0	0	0	3	1	0	0	26	6	0	4	0	0	0	0	0	165	0	47	0	0	0
rubritaleaceae	0	0	0	0	0	0	0	0	0	0	0	112	0	3	0	0	0	0	0	0	0	0
shewanellaceae	1	3	0	1	4	8	0	0	6	0	8	0	0	0	0	3	72	0	0	0	0	0
listeriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4356
nitrobacteraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0
streptococcaceae	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	11	0	0	0	0	0	0
clostridiaceae	4	1	0	1	131	0	870	0	43	365	5	3	0	205	1	0	52	0	0	719	0	0
spongiibacteraceae	0	5	0	7	7	0	0	0	40	0	1	3	0	9	0	18	0	0	0	0	0	0
rhodovibrionaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0
methanobacteriaceae	0	0	0	5	26	0	0	0	31	0	0	0	0	90	0	0	0	0	0	0	0	0
sphingosinicellaceae	0	0	0	0	2	0	0	0	0	0	7	0	0	9	0	0	10	0	0	0	0	0
comamonadaceae	0	0	1	9	1	3	0	0	2	0	3	5	0	91	0	23	3	20	32	0	238	0
enterobacteriaceae	4	4	0	0	0	1	0	2	0	0	0	1	0	0	0	1	0	0	20	0	25	2904
synechococcaceae	0	1	2	0	0	0	0	41	0	0	0	7	10	1	0	0	0	25	0	0	0	0
corynebacteriaceae	0	0	2	7	0	0	0	0	0	0	0	0	0	0	0	8	0	13	37	0	13	0
piscirickettsiaceae	2	34	0	828	1950	0	0	0	5347	64	0	0	0	7409	312	0	0	0	3452	139	0	0
moraxellaceae	44	135	96	651	49	232	0	811	2	8	0	467	2	66	0	1095	300	802	1880	0	31379	2
yersiniaceae	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0
terasakiellaceae	0	0	0	0	6	0	0	0	11	0	3	0	0	5	0	0	0	0	0	0	0	0
kofleriaceae	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
burkholderiaceae	0	10	6	13	3	0	0	17	0	0	0	19	0	12	0	34	0	77	8	0	1041	0
