genus	1-CA2a	1-CH2a	1-Ea	1-PA2a	1-PH1a	2-CA2a	2-CH1b	2-Ea	2-PA1b	2-PH2a	3-CA1b	3-CH2a	3-Eb	3-PA1a	3-PH1b	4-CA1a	4-CH1a	4-Ea	4-PA2a	4-PH1b	blank-060823STillcus515F	mock-060823STillcus515F	
rubritalea	0	0	0	0	0	0	0	0	0	0	0	0.3596198304649370665296686400	0	0.0097895252080274106705824800	0	0	0	0	0	0	0	0
prosthecobacter	0	0	0	0	0	0	0	0.0532131342536075374839578100	0	0	0	0	0	0	0	0	0	0	0	0	0	0
haliea	0	0	0.0089330911473066730190870400	0.0096435115239962711755440500	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1791025682028976236927111700	0	0	0	0
candidatus pelagibacter	0	0.0298926852599168983349774300	0	0	0	0	0	0.0093905531035778007324631400	0	0	0	0	0	0	0	0.0497371038794941026005400	0	0.0639652029296062941759682700	0	0	0	0
raoultella	0.0118178863710225426182527300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3213016133442712605961170400
blastopirellula	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0319826014648031470879841400	0	0	0	0
neptuniibacter	0.0354536591130676278547581800	0.0298926852599168983349774300	0	0.192870230479925423510881100	4.321518317682846184367147200	0.1397836392366597787771970300	0.0029809813390568175043224200	0	2.32162730307901570421664400	0.1284847760480473302058744400	0.5916448929332972940505150600	0.0224762394040585666581042900	0	2.6040137053352912383749388200	0.0148597242035187826913932500	0	3.6902168612023279253503267500	0	0.354475685721168737309426300	0.0151359205666888660168311400	0	0
polymorphobacter	0	0	0	0	0.0066128818939293744213728300	0	0	0	0	0	0.0210229149773252845601705900	0	0	0.0293685756240822320117474300	0	0	0.0325129238872451799590337200	0	0	0	0	0
enterococcus	0	0	0	0	0	0	0	0	0.0061827624582663534067021100	0	0	0	0.0118476393578579468040992800	0	0	0	0	0	0.0172075575592800357917197200	0	0.0294924351903736691538620300	9.184440798468690183210281650
bacteriovorax	0	0	0	0.0225015268893246327429361300	0.0033064409469646872106864200	0.0273489728941290871520602900	0	0	0	0	0.0150163678409466318286932800	0	0	0	0	0	0	0	0	0	0	0
halovibrio	0.0088634147782669069636895400	0.0567961019938421068364571200	0	0.0450030537786492654858722600	0.0264515275757174976854913400	0.0546979457882581743041205800	0	0	0.1143811054779275380239891200	0	0.114124395591194401898068900	0.0577960441818648856922681700	0	0.0032631750693424702235274900	0	0	0.2601033910979614396722697300	0	0.0240905805829920501084076100	0	0	0
mycoplasma	0	0	0	0	0.0363708504166115593175505900	0.0121550990640573720675823500	0	0	0.0896500556448621243971806600	0.0029880180476290076792063800	0.0961047541820584437036369600	0	0	0.0685266764561918746940773400	0	0	0	0	0	0.0030271841133377732033662300	0	0
ralstonia	0	0.0298926852599168983349774300	0.0178661822946133460381740800	0.0417885499373171750940242400	0.0099193228408940616320592500	0	0	0.0532131342536075374839578100	0	0	0	0.0610069355253018237862830700	0	0.0391581008321096426823299100	0	0.1207901094216285348870257200	0	0.2462660312789842325774778500	0.0275320920948480572667515600	0	3.0701625033178989589170377800	0
desulfatiglans	0	0	0	0	0.0264515275757174976854913400	0	0.0745245334764204376080605700	0	0.0030913812291331767033510600	0.0268921624286610691128574400	0	0	0	0	0	0	0.0032512923887245179959033700	0	0	0.0030271841133377732033662300	0	0
synechococcus	0	0.0029892685259916898334977400	0.0059553940982044486793913600	0	0	0	0	0.1283375590822299433436629400	0	0	0	0.0224762394040585666581042900	0.0296190983946448670102482100	0.0032631750693424702235274900	0	0	0	0.0799565036620078677199603400	0	0	0	0
thalassospira	0	0	0	0	0.0165322047348234360534320900	0.0060775495320286860337911800	0	0	0.0154569061456658835167552900	0	0	0.003210891343436938094014900	0	0.0032631750693424702235274900	0	0	0	0	0	0	0	0
roseobacter	0.0236357727420450852365054500	0.0388604908378919678354706600	0	0.035359542254652994310328200	0.019838645681788123264118500	0.0121550990640573720675823500	0	0	0.2102139235810560158278718900	0.0239041443810320614336510600	0.0060065471363786527314773100	0	0	0.2414749551313427965410344300	0.0089158345221112696148359500	0.0177632513855336080716214300	0.0487693858308677699385505700	0	0.0447396496541280930584712800	0	0	0
ruegeria	0.047271545484090170473010900	0.4872507697366454428601321300	0.0327546675401244677366524700	0.035359542254652994310328200	0.0495966142044703081602962600	0.0911632429804302905068676300	0.0029809813390568175043224200	0.0187811062071556014649262800	0.2720415481637195498948930400	0.0478082887620641228673021200	0.5105565065921854821755713700	0.1220138710506036475725661400	0	0.2610540055473976178821993800	0.011887779362815026153114600	0.0994742077589882052010800100	0.6079916766914848652339304900	0.0383791217577637765055809600	0.1204529029149602505420380600	0.0121087364533510928134649100	0	0
fluviicola	0	0.1404956207216094221743939300	0	0	0	0.0273489728941290871520602900	0	0	0	0	0	0	0	0	0	0.1065795083132016484297285800	0	0	0	0	0	0
leptotrichia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0619341138997847052231102700	0
