genus	1-CA2a	1-CH2a	1-Ea	1-PA2a	1-PH1a	2-CA2a	2-CH1b	2-Ea	2-PA1b	2-PH2a	3-CA1b	3-CH2a	3-Eb	3-PA1a	3-PH1b	4-CA1a	4-CH1a	4-Ea	4-PA2a	4-PH1b	blank-060823STillcus515F	mock-060823STillcus515F	
rubritalea	0	0	0	0	0	0	0	0	0	0	0	112	0	3	0	0	0	0	0	0	0	0
prosthecobacter	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0
haliea	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0
candidatus pelagibacter	0	10	0	0	0	0	0	3	0	0	0	0	0	0	0	14	0	20	0	0	0	0
raoultella	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94
blastopirellula	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0
neptuniibacter	12	10	0	60	1307	46	1	0	751	43	197	7	0	798	5	0	1135	0	103	5	0	0
polymorphobacter	0	0	0	0	2	0	0	0	0	0	7	0	0	9	0	0	10	0	0	0	0	0
enterococcus	0	0	0	0	0	0	0	0	2	0	0	0	4	0	0	0	0	0	5	0	10	2687
bacteriovorax	0	0	0	7	1	9	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
halovibrio	3	19	0	14	8	18	0	0	37	0	38	18	0	1	0	0	80	0	7	0	0	0
mycoplasma	0	0	0	0	11	4	0	0	29	1	32	0	0	21	0	0	0	0	0	1	0	0
ralstonia	0	10	6	13	3	0	0	17	0	0	0	19	0	12	0	34	0	77	8	0	1041	0
desulfatiglans	0	0	0	0	8	0	25	0	1	9	0	0	0	0	0	0	1	0	0	1	0	0
synechococcus	0	1	2	0	0	0	0	41	0	0	0	7	10	1	0	0	0	25	0	0	0	0
thalassospira	0	0	0	0	5	2	0	0	5	0	0	1	0	1	0	0	0	0	0	0	0	0
roseobacter	8	13	0	11	6	4	0	0	68	8	2	0	0	74	3	5	15	0	13	0	0	0
ruegeria	16	163	11	11	15	30	1	6	88	16	170	38	0	80	4	28	187	12	35	4	0	0
fluviicola	0	47	0	0	0	9	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0
leptotrichia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0
psychrosphaera	6	9	0	2	63	26	1	0	49	4	99	5	0	3	0	0	271	0	4	1	0	0
exiguobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0
erythrobacter	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	6	0	54	0	0	0
pseudofulvibacter	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0
marinobacter	1	5	0	0	18	7	0	0	17	0	13	15	0	21	0	3	19	0	0	0	0	0
primorskyibacter	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	25	0	0	0	0
lentisphaera	0	9	0	0	6	2	0	0	0	0	0	70	0	0	0	0	8	0	0	0	0	0
pelomonas	0	0	0	0	0	0	0	0	2	0	2	3	0	0	0	9	0	20	5	0	0	0
empedobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0
spirulina	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
enhydrobacter	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	21	0
labrenzia	1	5	0	18	1	1	0	0	25	7	2	1	0	41	3	0	0	5	31	1	0	0
thiohalomonas	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	3	24	0	0	0	0
psychrobacter	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	15	0	0	0	0
vibrio	1	1	0	4	1355	41	346	6	1	2320	7	6	0	56	995	2	257	39	13	1415	0	0
listeria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4356
marinifilum	2	12	0	14	667	3	2803	0	24	1630	4	7	0	10	380	9	644	0	17	1296	0	0
rhodovulum	0	1	0	0	3	0	0	0	0	0	3	5	0	8	0	0	5	0	29	0	0	0
pseudoruegeria	8	16	12	5	6	13	1	17	3	1	85	57	3	23	1	11	134	0	1	1	0	0
alteromonas	54	93	0	91	858	569	1	0	1641	57	663	56	4	796	14	33	1512	0	628	69	0	0
candidatus thioglobus	0	0	0	18	0	23	0	0	0	0	0	0	0	0	0	0	0	0	130	0	0	0
loktanella	0	29	0	0	0	16	0	34	0	0	0	0	0	0	0	36	0	0	0	0	0	0
amphritea	3	0	0	0	2	4	0	0	0	0	31	0	0	4	0	0	147	0	0	0	0	0
methylonatrum	0	0	0	7	0	0	0	0	1	0	0	0	0	0	0	0	0	0	14	0	0	0
tolumonas	0	0	0	0	146	0	0	0	4	27	0	0	0	8	155	0	0	0	0	61	0	0
donghicola	0	0	0	7	1	0	1	4	3	0	0	0	0	0	0	0	7	0	0	0	0	0
desulfovibrio	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	4	0	0	34	0	0
candidatus babela	0	21	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pseudomonas	0	0	0	24	0	0	0	8	0	0	2	0	0	1	0	23	11	87	37	0	117	1070
desulforhopalus	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
algicola	0	6	0	0	1	4	0	3	7	0	2	5	0	0	0	2	0	0	0	0	0	0
bacillus	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	7736
sphingobium	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0
oceanospirillum	0	55	0	21	175	94	0	0	249	16	388	0	0	182	1	1	76	0	30	0	0	0
halomicronema	0	0	39	0	0	0	0	0	0	0	0	0	0	1254	0	0	0	0	0	0	0	0
tateyamaria	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0
methanobrevibacter	0	0	0	5	26	0	0	0	31	0	0	0	0	90	0	0	0	0	0	0	0	0
xanthomonas	0	1	0	0	0	0	0	10	0	0	1	4	1	0	0	1	0	0	0	0	0	0
oleiphilus	0	2	0	5	3	7	0	0	0	0	1	0	0	1	0	16	18	0	3	0	0	0
fodinicurvata	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0
cytophaga	0	0	0	0	5	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0
serratia	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0
orientia	0	0	31	0	0	0	0	89	0	0	0	0	0	0	0	0	0	1565	0	0	0	0
novosphingobium	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0
achromobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0
maricaulis	0	0	0	0	8	1	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0
owenweeksia	8	88	0	2	0	2	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0
kordia	0	2	0	0	2	0	0	0	12	0	0	0	0	0	0	11	0	0	0	0	0	0
haliangium	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aquabacterium	0	2	0	0	0	0	0	1	5	0	0	6	0	1	0	11	3	0	13	0	10	1
salmonella	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	1	0	0	20	0	25	1139
pseudovibrio	0	0	1	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0
oceanobacter	0	0	0	10	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
alkaliphilus	4	1	0	1	131	0	870	0	43	365	5	3	0	205	1	0	52	0	0	719	0	0
acinetobacter	44	132	96	647	49	232	0	810	2	8	0	467	2	66	0	1095	298	787	1880	0	31358	2
leisingera	6	11	3	14	19	27	4	8	30	11	50	5	0	51	5	0	87	0	0	0	0	0
pseudoalteromonas	0	6	0	2	30	1	1	9	9	0	4	0	0	0	0	0	7	16	1	0	0	0
streptococcus	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	11	0	0	0	0	0	0
sphingomonas	1	4	6	14	0	10	0	23	0	0	0	10	0	1	0	40	0	1	19	0	563	0
shimia	20	36	0	10	8	98	0	0	26	3	286	63	0	36	1	7	1122	0	35	1	0	0
thioprofundum	0	0	0	3	1	0	0	26	6	0	4	0	0	0	0	0	165	0	47	0	0	0
photobacterium	10	11	0	4	3088	10	8324	0	71	18675	14	18	21	13	21337	21	2106	0	7	15948	0	0
flexithrix	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0
delftia	0	0	1	9	1	3	0	0	0	0	1	2	0	2	0	14	3	0	27	0	238	0
nitrincola	2	1	0	1	9	5	0	0	5	0	33	1	0	8	0	0	2	0	2	0	0	0
propionigenium	1	0	3	0	2	0	20560	0	42	123	3	0	7	0	5332	0	0	0	0	6375	0	0
desulfocapsa	0	0	10	2740	0	47	0	0	0	0	0	0	72	1207	4	0	17	96	0	0	0	0
lactobacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4671
thalassomonas	170	29	0	17	21	10	1	0	62	2	66	208	0	0	0	45	11666	36	35	0	0	0
celeribacter	1	18	0	3	5	12	0	0	6	0	1	3	0	7	0	3	2	0	0	0	0	0
jannaschia	0	3	0	20	15	0	0	0	27	2	1	1	0	74	0	0	0	0	50	3	0	0
planifilum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0
truepera	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0
spongiibacter	0	5	0	7	7	0	0	0	40	0	1	3	0	9	0	18	0	0	0	0	0	0
hyphomonas	9	17	6	5	12	16	0	0	163	1	3	9	0	251	0	0	17	12	51	0	0	0
methylobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0
hyphomicrobium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0
marivirga	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0
rhodopseudomonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0
candidatus odyssella	0	5	0	0	0	1	0	0	0	0	1	6	0	2	0	0	0	0	0	0	0	0
thalassotalea	56	194	0	37	228	266	7	0	518	15	1412	64	0	21	2	50	5973	0	86	7	0	0
