identity	1-CA2a	1-CH2a	1-Ea	1-PA2a	1-PH1a	2-CA2a	2-CH1b	2-Ea	2-PA1b	2-PH2a	3-CA1b	3-CH2a	3-Eb	3-PA1a	3-PH1b	4-CA1a	4-CH1a	4-Ea	4-PA2a	4-PH1b	blank-060823STillcus515F	mock-060823STillcus515F	
lewinellaceae	6	6	0	0	1	0	0	0	23	0	0	0	0	48	0	0	30	25	58	0	0	0
shimia marina	20	36	0	10	8	98	0	0	26	3	286	63	0	36	1	7	1122	0	35	1	0	0
photobacterium rosenbergii	2	1	0	0	1	0	11	0	25	138	5	0	0	0	17	0	14	0	7	13	0	0
enterococcus faecium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157
thalassotalea agarivorans	0	3	0	0	24	15	0	0	64	2	15	0	0	0	0	11	126	0	0	0	0	0
sagittula stellata	21	34	2	10	5	71	1	0	65	10	156	47	0	64	4	8	225	6	41	3	0	0
haliea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0
candidatus pelagibacter	0	10	0	0	0	0	0	3	0	0	0	0	0	0	0	14	0	20	0	0	0	0
cellvibrionaceae	24	10	0	5	13	54	0	0	10	0	50	30	0	7	0	6	139	0	0	1	0	0
pseudoalteromonas phenolica	0	4	0	2	30	1	1	9	5	0	2	0	0	0	0	0	6	0	1	0	0	0
colwelliaceae	0	0	0	0	0	0	0	0	0	0	10	1	0	0	0	0	198	0	0	0	0	0
lentisphaeria	0	2	0	0	6	2	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0
bacillus subtilis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5451
proteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	89	0	0	0	0	0	0	0	0
tropicimonas sediminicola	4	13	0	0	2	8	0	0	14	1	17	5	2	12	0	4	19	0	9	0	0	0
lentisphaerales	0	7	0	0	0	0	0	0	0	0	0	27	0	0	0	0	8	0	0	0	0	0
neptuniibacter	3	1	0	10	141	8	0	0	41	0	41	3	0	60	0	0	6	0	5	0	0	0
schleiferiaceae	8	98	0	2	0	2	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0
pirellulaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0
desulfobacterales	0	0	10	2740	0	47	0	0	0	0	0	0	72	1207	4	0	17	96	0	0	0	0
bradyrhizobium lupini	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0
vibrio rumoiensis	0	0	0	4	915	9	48	0	0	432	0	0	0	6	4	0	11	0	0	239	0	0
bacillus megaterium	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1327
novosphingobium subarcticum	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0
hyphomonas neptunium	8	17	6	5	12	12	0	0	163	1	3	9	0	36	0	0	17	0	51	0	0	0
pseudomonadaceae	0	1	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	26	0	0	0	0
aeromonadaceae	0	0	0	0	146	0	0	0	4	27	0	0	0	8	155	0	0	0	0	61	0	0
microbulbifer maritimus	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0
marinobacteraceae	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	3	9	0	0	0	0	0
eubacteriales family xii. incertae sedis	3	2	0	19	8947	0	30	0	30	1311	0	29	2	3	0	0	86	0	21	1714	0	0
corynebacterium tuberculostearicum	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	5	0
leptotrichia wadei	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0
algicola bacteriolytica	0	6	0	0	1	4	0	3	7	0	2	5	0	0	0	2	0	0	0	0	0	0
endozoicomonas elysicola	0	0	6	0	0	16	0	84	11	0	0	0	13	0	0	14	2	0	0	0	0	0
desulfobacteraceae	0	0	0	0	8	0	25	0	1	9	0	0	0	0	0	0	1	0	0	1	0	0
fluviicola	0	47	0	0	0	9	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0
marinobacterium jannaschii	2	5	0	5	85	30	0	0	64	5	165	26	0	61	1	0	480	0	56	1	0	0
maricurvus nonylphenolicus	4	1	0	5	9	0	0	0	0	0	2	0	0	28	0	0	49	0	9	0	0	0
thalassobius aestuarii	3	16	0	0	7	10	0	0	4	0	1	1	0	4	0	3	4	0	0	0	0	0
desulforhopalus	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
planifilum fimeticola	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0
bacteroidetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0
spirulina subsalsa	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
methylobacterium tardum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0
clostridiaceae	4	1	0	1	131	0	867	0	30	365	3	3	0	205	1	0	52	0	0	719	0	0
halomicronema metazoicum	0	0	0	0	0	0	0	0	0	0	0	0	0	127	0	0	0	0	0	0	0	0
endozoicomonas montiporae	33121	31819	33169	26082	8102	30593	0	30280	21081	1	28024	29328	33542	15174	5	26154	518	27880	20842	0	0	0
cohaesibacter marisflavi	0	8	0	4	0	0	2	0	0	0	0	0	0	0	1	0	11	0	0	1	0	0
aestuariivita rhodobacteraceae bacterium	3	0	0	0	0	3	0	0	5	0	2	4	0	0	0	0	8	0	0	0	0	0
halomonadaceae	3	19	0	14	8	18	0	0	37	0	38	18	0	1	0	0	80	0	7	0	0	0
bacillus licheniformis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	617
delftia tsuruhatensis	0	0	1	9	1	3	0	0	0	0	1	2	0	2	0	14	3	0	27	0	238	0
