family	1-CA2a	1-CH2a	1-Ea	1-PA2a	1-PH1a	2-CA2a	2-CH1b	2-Ea	2-PA1b	2-PH2a	3-CA1b	3-CH2a	3-Eb	3-PA1a	3-PH1b	4-CA1a	4-CH1a	4-Ea	4-PA2a	4-PH1b	blank-060823STillcus515F	mock-060823STillcus515F	
hyphomonadaceae	0.0265902443348007208910686300	0.0508175649418587271694616300	0.0178661822946133460381740800	0.0160751028806584362139917700	0.0397114302733470117148719300	0.048620396256229488270329400	0	0	0.5043785004796237274499489400	0.0029880180476290076792063800	0.0090098207045679790972159700	0.0288980220909324428461340900	0	0.8214694812632956962853870100	0	0	0.0552719706083168059303573200	0.0383791217577637765055809600	0.1755170871046563650755411800	0	0	0
pseudoalteromonadaceae	0.0177268295565338139273790900	0.0627746390458254865034526100	0	0.0128600823045267489711934200	0.3110728704745515917664967900	0.0942020177464446335237632200	0.0059619626781136350086448500	0.0375622124143112029298525700	0.2011325308661076213757465100	0.0119520721905160307168255300	0.3153437246598792684025587900	0.0321089134343693809401489900	0	0.0098183603338242513500245500	0	0.0071053005542134432286485700	0.903859284065416002861137300	0.0511721623436850353407746200	0.0172075575592800357917197200	0.0030271841133377732033662300	0	0
oceanospirillaceae	0.0827252045971577983277690800	0.2750127043912354646817923700	0	0.3504372427983539094650205800	5.4338473757363161029849758400	0.7080345204813419229366719300	0.0029809813390568175043224200	0	3.5028003836989819599591546200	0.1942211730958854991484148600	3.2795747364627443913866114100	0.1380683277677883380426406400	0	3.95679921453117329405989200	0.0208036138849262957679505500	0.0213159016626403296859457200	7.5917677276717495204343726600	0.0511721623436850353407746200	0.6710947448119213958770692100	0.0181631046800266392201973700	0	0
marinifilaceae	0.0059089431855112713091263600	0.0358712223119002780019729200	0	0.0450102880658436213991769500	2.2072936660268714011516314800	0.0091163242980430290506867600	8.355690693376259464615751510	0	0.0742643190890243525079679400	4.8704694176352825171064033200	0.0120130942727573054629546200	0.0224762394040585666581042900	0	0.0327278677794141711667484900	1.1293390394674274845458868300	0.0319738524939604945289185700	2.093832298338589589361771300	0	0.0585056957015521216918470600	3.9232306108857540715626324400	0	0
thermoactinomycetaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0929208108201121932752865100	0	0	0
bacillaceae	0.0118178863710225426182527300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1120712537234199427846757300	26.442439157779600765654908390
crocinitomicaceae	0	0.1404956207216094221743939300	0	0	0	0.0273489728941290871520602900	0	0	0	0	0	0	0	0	0	0.1065795083132016484297285800	0	0	0	0	0	0
rhodobacteraceae	0.0088634147782669069636895400	0.0029892685259916898334977400	0	0	0.0099278575683367529287179800	0.0091163242980430290506867600	0	0	0.0154717331435467401058266500	0	0.0150163678409466318286932800	0.0288980220909324428461340900	0	0.3272786777941417116674848600	0	0	0.0422668010534187339467438300	0	0.099803833843824207591974400	0	0	0
bacteriovoracaceae	0	0	0	0.0225051440329218106995884800	0.0033092858561122509762393300	0.0273489728941290871520602900	0	0	0	0	0.0150163678409466318286932800	0	0	0	0	0	0	0	0	0	0	0
endozoicomonadaceae	98.12095606700741572369781665	95.49218306280453173108540340	98.84465354494833695619807641	84.11458333333333333333333333	28.310940499040307101727447220	93.33596693813054576394797618	0	95.69912667856136726453188093	65.949809697682334375096698330	0.0029880180476290076792063800	85.44012974141814577889899991	94.47405599794502954020035962	99.60014217167229429536164919	50.924562264768450335460644740	0.017831669044222539229671900	93.07943726019610629529629103	1.911759924570016581591182500	89.83273099433907954072984297	72.048043500705509859930481470	0	0	0
hyphomicrobiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1101283683793922290670062300	0	0	0
parvularculaceae	0	0	0.0476431527856355894351308700	0	0	0	0	0	0	0	0	0	0	0.4810996563573883161512027500	0	0.4831604376865141395481028800	0.022759046721071625971323600	0	1.6794576177857314932718449900	0	0	0
ectothiorhodospiraceae	0	0	0	0	0	0	0	0	0.080453012346443048550298600	0	0	0	0	0	0	0	0.0097538771661735539877101100	0.0767582435155275530111619300	0	0	0	0
burkholderiales	0	0.0059785370519833796669954900	0	0	0	0	0	0.0031301843678592669108210500	0.0154717331435467401058266500	0	0	0.0192653480606216285640893900	0	0.0032727867779414171166748500	0	0.0390791530481739377575671500	0.0097538771661735539877101100	0	0.0447396496541280930584712800	0	0.0294924351903736691538620300	0.0034181022696199070276182700
halomonadaceae	0.0088634147782669069636895400	0.0567961019938421068364571200	0	0.0450102880658436213991769500	0.0264742868488980078099146200	0.0546979457882581743041205800	0	0	0.1144908252622458767831172400	0	0.114124395591194401898068900	0.0577960441818648856922681700	0	0.0032727867779414171166748500	0	0	0.2601033910979614396722697300	0	0.0240905805829920501084076100	0	0	0
cellulomonadaceae	0	0	0	0	0	0	0	0.0657338717250446051272419900	0	0	0	0	0	0	0	0	0	0	0	0	0	0
verrucomicrobiaceae	0	0	0	0	0	0	0	0.0532131342536075374839578100	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cytophagaceae	0	0	0	0	0.0165464292805612548811966400	0	0	0	0.0371321595445121762539839700	0	0	0	0	0	0	0	0	0	0	0	0	0
spirochaetaceae	0	0	0.0476431527856355894351308700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cohaesibacteraceae	0	0.0239141482079335186679819400	0	0.0128600823045267489711934200	0	0	0.0059619626781136350086448500	0	0	0	0	0	0	0	0.0029719448407037565382786500	0	0.0357642162759696979549370900	0	0	0.0030271841133377732033662300	0	0
microbulbiferaceae	0	0	0	0	0	0	0	0.0876451623000594735029893300	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lentisphaeraceae	0	0.0269034167339252085014796900	0	0	0.0198557151366735058574359700	0.0060775495320286860337911800	0	0	0	0	0	0.224762394040585666581042900	0	0	0	0	0.0260103391097961439672269700	0	0	0	0	0
desulfovibrionaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1374570446735395189003436400	0	0	0.0130051695548980719836134900	0	0	0.1029242598534842889144517800	0	0
halieaceae	0.0059089431855112713091263600	0	0.0476431527856355894351308700	0.0096450617283950617283950600	0	0	0	0	0	0	0	0	0	1.3418425789559810178366879400	0	0	0	0.1791025682028976236927111700	0	0	0	0
stappiaceae	0.0029544715927556356545631800	0.0149463426299584491674887200	0.0029776970491022243396956800	0.0578703703703703703703703700	0.0033092858561122509762393300	0.0030387747660143430168955900	0	0	0.0773586657177337005291332700	0.0209161263334030537544446800	0.0060065471363786527314773100	0.003210891343436938094014900	0	0.242186221567664866633938800	0.0089158345221112696148359500	0	0	0.0159913007324015735439920700	0.1066868568675362219086622800	0.0030271841133377732033662300	0	0
oleiphilaceae	0	0.0059785370519833796669954900	0	0.0160751028806584362139917700	0.0099278575683367529287179800	0.0212714233621004011182691100	0	0	0	0	0.0030032735681893263657386600	0	0	0.0032727867779414171166748500	0	0.0568424044337075458291885700	0.0585232629970413239262606900	0	0.0103245345355680214750318300	0	0	0
methylobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0501371398236352375615654600	0
colwelliaceae	0.6677105799627736579312789900	0.6666068812961468328699967100	0	0.1736111111111111111111111100	0.8240121781719504930835925600	0.838701835419958672663182200	0.0238478507124545400345793800	0	1.7947210446514218522758919500	0.050796306809693130546508500	4.4388383337838243685617322900	0.873362445414847161572052400	0	0.0687285223367697594501718200	0.005943889681407513076557300	0.3375017763251385533608071600	57.349546444711772929739571480	0.1151373652732913295167428900	0.416422892934576866159617300	0.021190288793364412423563600	0	0
archangiaceae	0.0029544715927556356545631800	0	0	0	0	0	0	0.0688640560929038720380630400	0	0	0	0	0	0	0	0	0	0	0	0	0	0
arenicellaceae	0	0	0	0	0	0	0	0.0626036873571853382164209500	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aeromonadaceae	0	0	0	0	0.4831557349923886425309418200	0	0	0	0.0123773865148373920846613200	0.0806764872859832073385723200	0	0	0	0.0261822942235313369333987900	0.4606514503090822634331906800	0	0	0	0	0.1846582309136041654053399500	0	0
ferrimonadaceae	0	0.0089678055779750695004932300	0	0.0353652263374485596707818900	4.4807730491759878218280495100	0	0.9211232337685566088356286900	0	0.1175851718909552248042825800	17.354408820629276600830669020	0.0150163678409466318286932800	0.0256871307474955047521191900	0	0.0032727867779414171166748500	12.927960057061340941512125530	0	4.4770296192736612803589426800	0	0.0825962762845441718002546700	13.319610098686202094811406430	0.0058984870380747338307724100	0
spirulinaceae	0	0	0.0655093350802489354733049500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
desulfobacteraceae	0	0	0	0	0.0264742868488980078099146200	0	0.0745245334764204376080605700	0	0.0030943466287093480211653300	0.0268921624286610691128574400	0	0	0	0	0	0	0.0032512923887245179959033700	0	0	0.0030271841133377732033662300	0	0
pseudomonadaceae	0	0.0029892685259916898334977400	0	0.0771604938271604938271604900	0	0	0	0.0250414749428741352865683800	0	0	0.0060065471363786527314773100	0	0.0059238196789289734020496400	0.0098183603338242513500245500	0	0.0817109563734545971294585800	0.0357642162759696979549370900	0.3614033965522755620942207400	0.1273359259386722648587259500	0	0.345061491727371929100185800	3.6573694284933005195515449800
lewinellaceae	0.0177268295565338139273790900	0.0179356111559501390009864600	0	0	0.0033092858561122509762393300	0	0	0	0.0711699724603150044868026100	0	0	0	0	0.1570937653411880216003927300	0	0	0.0975387716617355398771011500	0.0799565036620078677199603400	0.1996076676876484151839487900	0	0	0
mycoplasmataceae	0	0	0	0	0.036402144417234760738632600	0.0121550990640573720675823500	0	0	0.089736052232571092613794600	0.0029880180476290076792063800	0.0961047541820584437036369600	0	0	0.0687285223367697594501718200	0	0	0	0	0	0.0030271841133377732033662300	0	0
erythrobacteraceae	0	0	0	0.0257201646090534979423868300	0	0	0	0	0	0	0	0	0	0	0	0	0.0195077543323471079754202300	0	0.1858416216402243865505730100	0	0	0
caulobacteraceae	0	0	0	0	0	0.0091163242980430290506867600	0	0	0	0	0.0090098207045679790972159700	0	0	0	0	0	0.0292616314985206619631303400	0	0	0	0	0
maricaulaceae	0	0	0	0	0.0264742868488980078099146200	0.0030387747660143430168955900	0	0	0.0773586657177337005291332700	0	0	0	0	0	0	0	0	0	0	0	0	0
flammeovirgaceae	0	0	0	0	0.0231650009927857568336752900	0.0182326485960860581013735300	0	0	0	0.050796306809693130546508500	0	0	0	0	0	0.0284212022168537729145942900	0	0.0511721623436850353407746200	0	0	0	0
roseobacteraceae	0.381126835465476999438650400	1.6112157355095208202552835300	0.0833755173748622815114790200	0.4083076131687242798353909500	0.3640214441723476073863260300	1.3644098699404400145861188800	0.0536576641030227150778036100	0.2159827213822894168466522700	1.2160782250827737723179750600	0.1792810828577404607523829400	3.3156140192810163077754752700	0.879784228101721037760082200	0.014809549197322433505124100	2.0978563246604483717885779700	0.0742986210175939134569662400	0.5222395907346880773056700300	8.154241310921091133725655950	0.1375251862986535324783317900	0.8225212513335857108442027700	0.042380577586728824847127200	0	0
geminicoccaceae	0	0	0.0297769704910222433969567900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sphingomonadaceae	0.0088634147782669069636895400	0.0119570741039667593339909700	0.0178661822946133460381740800	0.0546553497942386831275720200	0	0.0303877476601434301689558800	0	0.0719942404607631389488840900	0	0	0	0.0321089134343693809401489900	0	0.0032727867779414171166748500	0	0.1421060110842688645729714400	0	0.0031982601464803147087984100	0.0653887187252641360085349500	0	1.7783938419795322499778806700	0
pelagibacteraceae	0	0.0298926852599168983349774300	0	0	0	0	0	0.0093905531035778007324631400	0	0	0	0	0	0	0	0.0497371038794941026005400	0	0.0639652029296062941759682700	0	0	0	0
candidatus paracaedibacteraceae	0	0.0149463426299584491674887200	0	0	0	0.0030387747660143430168955900	0	0	0	0	0.0030032735681893263657386600	0.0192653480606216285640893900	0	0.006545573555882834233349700	0	0	0	0	0	0	0	0
pirellulaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0319826014648031470879841400	0	0	0	0
marivirgaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0671634630760866088847666900	0	0	0	0
weeksellaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0415773819042440912143793800	0	0	0	0
trueperaceae	0	0	0	0	0	0	0	0.0751244248286224058597051400	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lactobacillaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.965955701394585726004922070
fusobacteriaceae	0.0029544715927556356545631800	0	0.0089330911473066730190870400	0	0.0066185717122245019524786600	0	61.288976331008167888869015680	0	0.129962558405792616888943900	0.3675262198583679445423850400	0.0090098207045679790972159700	0	0.0207333688762514069071737500	0	15.846409890632429862101759390	0	0	0	0	19.298298722528304171459708180	0	0
enterococcaceae	0	0	0	0	0	0	0	0	0.0061886932574186960423306600	0	0	0	0.0118476393578579468040992800	0	0	0	0	0	0.0172075575592800357917197200	0	0.0294924351903736691538620300	9.184440798468690183210281650
xanthomonadaceae	0	0.0089678055779750695004932300	0.0029776970491022243396956800	0.0578703703703703703703703700	0	0.0455816214902151452534338200	0	0.0563433186214668043947788500	0	0	0.0030032735681893263657386600	0.0192653480606216285640893900	0.0029619098394644867010248200	0.0032727867779414171166748500	0	0.1065795083132016484297285800	0.0715284325519393959098741700	0	0.1204529029149602505420380600	0	0.8080927242162385348158197400	0.0034181022696199070276182700
kordiimonadaceae	0.0236357727420450852365054500	0.0149463426299584491674887200	0	0.0385802469135802469135802500	0.0198557151366735058574359700	0.0060775495320286860337911800	0	0	0.0773586657177337005291332700	0	0.2973240832507433102081268600	0.439892114050860518880041100	0	0.1930944198985436098838160700	0	0	0.2763598530415840296517865900	0	0.5850569570155212169184705900	0.0060543682266755464067324600	0	0
schleiferiaceae	0.0236357727420450852365054500	0.2929483155471856036827788200	0	0.0064300411522633744855967100	0	0.0060775495320286860337911800	0	0	0	0	0	0	0	0.0032727867779414171166748500	0	0	0.0097538771661735539877101100	0	0	0	0	0
bacillales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0991460645408897559727508200	0	0	0	0
litoricolaceae	0	0	0.0029776970491022243396956800	0	0	0	0	0.0125207374714370676432841900	0	0	0	0	0	0	0	0	0	0.0767582435155275530111619300	0	0	0	0
leptotrichiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0619341138997847052231102700	0
haliscomenobacteraceae	0.0236357727420450852365054500	0.020924879681941828834484200	0	0	0.0165464292805612548811966400	0.0091163242980430290506867600	0	0	0	0	0	0.0160544567171846904700744900	0	0	0	0.0746056558192411539008100	0	0	0	0	0	0
alteromonadaceae	0.2038585399001388601648595100	0.3138731952291274325172630300	0	0.3729423868312757201646090500	4.7289694883844066450459990700	1.8566913820347635833232040800	0.0029809813390568175043224200	0	8.230962032366865736299780300	0.1912331550482564914692084700	2.0332162056641739496050695300	0.215129720010274852298998200	0.0118476393578579468040992800	4.8928162330224185894288987100	0.0475511174512601046124583900	0.1811851641324428023305385800	5.0004876938583086776993855100	0	2.3367863165502288605155384200	0.2179572561603196706423684700	0	0
prochlorotrichaceae	0	0	0.116130184914986749248131500	0	0	0	0	0	0	0	0	0	0	4.1040746195385370643102601900	0	0	0	0	0	0	0	0
thalassospiraceae	0	0	0	0	0.0165464292805612548811966400	0.0060775495320286860337911800	0	0	0.0154717331435467401058266500	0	0	0.003210891343436938094014900	0	0.0032727867779414171166748500	0	0	0	0	0	0	0	0
cellvibrionaceae	0.0827252045971577983277690800	0.0328819537859085881684751700	0	0.0321502057613168724279835400	0.0728042888344695214772652100	0.1640938373647745229123617400	0	0	0.0309434662870934802116533100	0	0.1561702255458449710184100700	0.0963267403031081428204469600	0	0.114547537227949599083619700	0	0.0213159016626403296859457200	0.6112429690802093832298338600	0	0.030973603606704064425095500	0.0030271841133377732033662300	0	0
hydrogenophilaceae	0	0	0	0	0	0	0	0.0939055310357780073246314200	0	0	0	0	0	0	0	0	0	0	0	0	0	0
staphylococcaceae	0.0177268295565338139273790900	0.0029892685259916898334977400	0.014888485245511121698478400	0.0932355967078189300411522600	0	0.0030387747660143430168955900	0	0.0532131342536075374839578100	0	0.0029880180476290076792063800	0	0.0513742614949910095042383800	0	0	0	0.2167116669035100184737814400	0.0032512923887245179959033700	0	0.0722717417489761503252228400	0	0.0383401657474857699000206400	19.920700027344818156959256220
alcaligenaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0796295750140089067154274900	0
marinobacteraceae	0.0029544715927556356545631800	0.0149463426299584491674887200	0	0	0.059567145410020517572307900	0.0212714233621004011182691100	0	0	0.0526038926880589163598106300	0	0.0390425563864612427546025200	0.0481633701515540714102234800	0	0.0687285223367697594501718200	0	0.0106579508313201648429728600	0.0617745553857658419221640600	0	0	0	0	0
rickettsiaceae	0	0	0.0923086085221689545305660600	0	0	0	0	0.2785864087394747550630732200	0	0	0	0	0	0	0	0	0	5.0052771292416925192695173800	0	0	0	0
thioprofundaceae	0	0	0	0.0096450617283950617283950600	0.0033092858561122509762393300	0	0	0.0813847935643409396813472300	0.0185660797722560881269919900	0	0.0120130942727573054629546200	0	0	0	0	0	0.5364632441395454693240563100	0	0.161751041057232336442165400	0	0	0
rubritaleaceae	0	0	0	0	0	0	0	0	0	0	0	0.3596198304649370665296686400	0	0.0098183603338242513500245500	0	0	0	0	0	0	0	0
shewanellaceae	0.0029544715927556356545631800	0.0089678055779750695004932300	0	0.0032150205761316872427983500	0.0132371434244490039049573100	0.024310198128114744135164700	0	0	0.0185660797722560881269919900	0	0.0240261885455146109259092400	0	0	0	0	0.0106579508313201648429728600	0.2340930519881652957050427500	0	0	0	0	0
listeriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.889253486464315012305168170
nitrobacteraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2329902380039519863155100700	0
streptococcaceae	0	0	0	0	0	0	0	0.0375622124143112029298525700	0	0	0	0	0	0	0	0.0390791530481739377575671500	0	0	0	0	0	0
clostridiaceae	0.0118178863710225426182527300	0.0029892685259916898334977400	0	0.0032150205761316872427983500	0.4335164471507048778873519100	0	2.5934537649794312287605079600	0	0.1330569050345019649101092300	1.0906265873845878029103295800	0.0150163678409466318286932800	0.009632674030310814282044700	0	0.6709212894779905089183439700	0.0029719448407037565382786500	0	0.1690672042136749357869753200	0	0	2.1765453774898589332203184600	0	0
