phylum	1-CA2a	1-CH2a	1-Ea	1-PA2a	1-PH1a	2-CA2a	2-CH1b	2-Ea	2-PA1b	2-PH2a	3-CA1b	3-CH2a	3-Eb	3-PA1a	3-PH1b	4-CA1a	4-CH1a	4-Ea	4-PA2a	4-PH1b	blank-060823STillcus515F	mock-060823STillcus515F	
bacteroidetes	0.094543090968180340946021800	0.5440468717304875496965892400	0.0476431527856355894351308700	0.0514403292181069958847736600	2.2734793831491164206764180300	0.0790081439163729184392852800	8.355690693376259464615751510	0	0.2784911965838413219048797800	4.9212657244449756476529118200	0.0150163678409466318286932800	0.0995376316465450809144618500	0	0.1963672066764850270004909200	1.1293390394674274845458868300	0.3090805741082847804462128700	2.2011249471664986832265825700	0.4189720791889212268525921900	0.2581133633892005368757958500	3.9232306108857540715626324400	0	0
actinobacteria	0	0	0.0059553940982044486793913600	0.0225051440329218106995884800	0	0	0	0.0657338717250446051272419900	0	0	0	0	0	0	0	0.0284212022168537729145942900	0	0.0415773819042440912143793800	0.1273359259386722648587259500	0	0.0383401657474857699000206400	0
spirochaetes	0	0	0.0476431527856355894351308700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lentisphaerae	0	0.0269034167339252085014796900	0	0	0.0198557151366735058574359700	0.0060775495320286860337911800	0	0	0	0	0	0.224762394040585666581042900	0	0	0	0	0.0260103391097961439672269700	0	0	0	0	0
deinococcus_thermus	0	0	0	0	0	0	0	0.0751244248286224058597051400	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cyanobacteria	0	0.0029892685259916898334977400	0.187594914093440133400827800	0	0	0	0	0.1815506933358374808276207500	0	0	0	0.0224762394040585666581042900	0.0296190983946448670102482100	4.1073474063164784814269350400	0	0	0.0292616314985206619631303400	0.0799565036620078677199603400	0.1720755755928003579171972300	0	0	0
planctomycetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0319826014648031470879841400	0	0	0	0
verrucomicrobia	0	0	0	0	0	0	0	0.0532131342536075374839578100	0	0	0	0.3596198304649370665296686400	0	0.0098183603338242513500245500	0	0	0	0	0	0	0	0
firmicutes	0.0502260170768458061275740800	0.0269034167339252085014796900	0.014888485245511121698478400	0.2154063786008230452674897100	30.190614865312065656231385270	0.0030387747660143430168955900	2.7663506826447266440112084900	0.0907753466679187404138103700	0.3094346628709348021165330900	10.254877939462754355036304420	0.027029462113703937291647900	0.1605445671718469047007449300	0.0177714590367869202061489200	0.7592865324824087710685648800	0.023775558725630052306229200	0.2557908199516839562313485900	1.0631726111129173846604025100	0.0991460645408897559727508200	0.3820077778160167945761778600	7.4559544711509353998910213700	0.1799038546612793818385584100	86.40278917145200984413453651
proteobacteria	99.85227642036221821727184093	99.39915702627567034346695364	99.68734180984426644433195367	99.71064814814814814814814815	67.473029320272685154543649480	99.87541023459341193630728090	27.588982292970846002504024320	99.42091589194603562149810624	99.17690379676331342637002197	84.45334209818627304508919234	99.85283959515872300807880590	99.13305933727202671461597740	99.91706652449499437237130502	94.85845197185403370970381280	83.00047551117451260104612458	99.39249680261475060395054711	96.68043047111226712618265761	99.31557232865321265231713948	99.04325979970403000998038338	69.319489011321668583883271780	99.71982186569145014303831067	13.597210828547990155865463490
fusobacteria	0.0029544715927556356545631800	0	0.0089330911473066730190870400	0	0.0066185717122245019524786600	0	61.288976331008167888869015680	0	0.129962558405792616888943900	0.3675262198583679445423850400	0.0090098207045679790972159700	0	0.0207333688762514069071737500	0	15.846409890632429862101759390	0	0	0	0	19.298298722528304171459708180	0.0619341138997847052231102700	0
tenericutes	0	0	0	0	0.036402144417234760738632600	0.0364652971921721162027470500	0	0.112686637242933608789557700	0.1052077853761178327196212500	0.0029880180476290076792063800	0.0961047541820584437036369600	0	0.014809549197322433505124100	0.0687285223367697594501718200	0	0.0142106011084268864572971400	0	0.0127930405859212588351936500	0.0172075575592800357917197200	0.0030271841133377732033662300	0	0
