phylum	1-CA2a	1-CH2a	1-Ea	1-PA2a	1-PH1a	2-CA2a	2-CH1b	2-Ea	2-PA1b	2-PH2a	3-CA1b	3-CH2a	3-Eb	3-PA1a	3-PH1b	4-CA1a	4-CH1a	4-Ea	4-PA2a	4-PH1b	blank-060823STillcus515F	mock-060823STillcus515F	
bacteroidetes	32	182	16	16	687	26	2803	0	90	1647	5	31	0	60	380	87	677	131	75	1296	0	0
actinobacteria	0	0	2	7	0	0	0	21	0	0	0	0	0	0	0	8	0	13	37	0	13	0
spirochaetes	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lentisphaerae	0	9	0	0	6	2	0	0	0	0	0	70	0	0	0	0	8	0	0	0	0	0
deinococcus_thermus	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cyanobacteria	0	1	63	0	0	0	0	58	0	0	0	7	10	1255	0	0	9	25	50	0	0	0
planctomycetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0
verrucomicrobia	0	0	0	0	0	0	0	17	0	0	0	112	0	3	0	0	0	0	0	0	0	0
firmicutes	17	9	5	67	9123	1	928	29	100	3432	9	50	6	232	8	72	327	31	111	2463	61	25278
proteobacteria	33797	33252	33478	31014	20389	32867	9255	31762	32051	28264	33248	30874	33734	28984	27928	27977	29736	31053	28779	22899	33812	3978
fusobacteria	1	0	3	0	2	0	20560	0	42	123	3	0	7	0	5332	0	0	0	0	6375	21	0
tenericutes	0	0	0	0	11	12	0	36	34	1	32	0	5	21	0	4	0	4	5	1	0	0
