#OTU ID	1-CA2a	1-CH2a	1-Ea	1-PA2a	1-PH1a	2-CA2a	2-CH1b	2-Ea	2-PA1b	2-PH2a	3-CA1b	3-CH2a	3-Eb	3-PA1a	3-PH1b	4-CA1a	4-CH1a	4-Ea	4-PA2a	4-PH1b	blank-060823STillcus515F	mock-060823STillcus515F
Zotu1	33071	31737	33127	26012	7927	30493	0	30269	20889	1	27664	29283	33537	14789	5	26130	494	27856	20767	0	0	0
Zotu6	239	443	190	1231	39	412	0	1312	482	1	153	736	573	400	2	2043	424	1923	4215	0	0	0
Zotu9	168	20	0	17	2	4	1	0	30	1	52	197	0	0	0	45	11468	0	35	0	0	0
Zotu10	48	111	0	37	147	174	5	0	404	11	1287	53	0	16	2	0	5507	0	32	7	0	0
Zotu326	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu74	32	60	31	20	13	42	0	8	27	0	126	36	4	79	0	20	9	5	23	0	0	0
Zotu73	10	7	3	30	189	15	0	7	95	0	37	3	7	202	1	9	7	16	19	0	0	0
Zotu92	24	10	0	5	8	51	0	0	10	0	38	15	0	7	0	6	109	0	0	1	0	0
Zotu271	47	45	0	3	23	24	0	0	18	0	179	25	0	2	0	8	32	3	5	0	0	0
Zotu25	20	46	0	18	62	88	0	0	599	14	314	15	0	60	0	6	1132	0	398	1	0	0
Zotu305	6	5	0	0	0	3	0	0	0	0	0	0	0	1	0	7	0	0	0	0	0	0
Zotu3	44	128	91	642	47	231	0	793	0	7	0	455	0	65	0	1056	289	743	1838	0	30545	2
Zotu142	8	1	0	4	10	10	0	0	7	0	64	6	0	15	0	2	10	2	4	0	0	0
Zotu195	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78
Zotu214	8	7	0	0	5	3	0	0	0	0	0	5	0	0	0	21	0	0	0	0	0	0
Zotu7	2	2	0	19	8712	0	30	0	28	1292	0	27	1	2	0	0	85	0	20	1636	0	0
Zotu145	13	46	4	5	6	19	0	2	12	0	59	9	0	25	0	6	4	0	0	0	0	0
Zotu35	20	36	0	10	8	98	0	0	26	3	286	63	0	36	1	7	1122	0	35	1	0	0
Zotu198	3	0	0	0	2	0	0	0	0	0	16	0	0	4	0	0	86	0	0	0	0	0
Zotu160	8	88	0	2	0	2	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0
Zotu87	5	10	9	5	5	9	1	17	1	1	76	55	3	17	1	9	121	0	1	0	0	0
Zotu2	8	10	0	4	2828	10	8119	0	46	16013	9	18	21	12	19024	21	2037	0	0	13939	0	0
Zotu129	5	15	5	35	0	12	0	41	15	0	4	17	5	3	0	69	5	48	148	0	0	0
Zotu47	5	6	0	0	29	7	0	0	37	0	70	0	0	7	4	0	908	0	0	0	0	0
Zotu62	2	1	0	0	30	0	1	0	26	2	0	0	0	2	1	0	34	0	0	412	0	0
Zotu79	4	34	0	0	25	23	2	0	24	2	43	0	0	0	0	0	193	0	54	0	0	0
Zotu16	44	108	0	0	30	277	0	0	0	0	0	0	0	0	0	3664	48	162	314	1	0	0
Zotu48	18	64	0	21	7	89	7	0	32	4	267	16	0	105	7	8	382	0	50	1	0	0
Zotu53	6	5	0	0	4	32	0	0	0	0	203	6	0	94	0	0	484	0	0	0	0	0
Zotu191	6	8	0	3	0	10	0	0	2	1	1	0	0	2	0	5	60	0	0	0	0	0
Zotu54	21	34	2	10	5	71	1	0	65	10	156	47	0	64	4	8	225	6	41	3	0	0
Zotu216	13	1	24	6	0	9	0	13	0	0	0	0	2	36	0	10	0	26	0	0	0	0
Zotu230	2	1	0	1	9	5	0	0	5	0	33	1	0	8	0	0	2	0	2	0	0	0
Zotu104	4	3	0	1	1	17	0	0	3	1	40	12	0	11	0	0	117	0	4	0	0	0
Zotu296	8	0	0	0	0	0	0	47	0	0	0	0	0	7	0	0	0	0	0	0	0	0
Zotu299	6	1	0	0	1	0	0	0	1	0	0	0	0	20	0	0	0	0	0	0	0	0
Zotu112	1	0	0	0	0	4	0	0	0	0	0	0	0	215	0	0	0	0	0	0	0	0
Zotu262	3	1	0	3	13	5	0	0	5	0	30	2	0	5	0	0	6	0	0	0	0	0
Zotu75	6	7	0	2	55	8	0	0	28	3	60	4	0	3	0	0	163	0	4	1	0	0
Zotu29	11	12	0	25	569	32	0	0	969	7	9	11	0	699	2	18	13	0	51	3	0	0
Zotu19	25	45	0	69	758	436	1	0	1009	43	323	36	4	701	14	27	380	0	227	68	0	0
Zotu65	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	367
Zotu22	5	1	5	29	0	1	0	17	0	1	0	15	0	0	0	57	1	0	21	0	13	2935
Zotu303	2	0	0	0	0	0	0	40	8	0	0	0	0	6	0	0	0	3	0	0	0	0
Zotu208	8	0	0	12	1	1	0	0	0	0	3	5	0	2	0	0	25	0	0	0	0	0
Zotu52	10	153	11	11	14	18	1	6	88	15	152	13	0	67	3	28	130	12	35	4	0	0
Zotu376	9	2	0	4	38	45	0	0	33	0	26	5	0	35	0	0	0	0	3	0	0	0
Zotu58	2	5	0	0	9	14	0	0	8	0	146	22	0	0	1	0	413	0	56	0	0	0
Zotu205	5	2	0	1	10	7	0	2	4	0	23	5	0	8	0	2	3	1	2	0	0	0
Zotu78	8	17	6	5	12	12	0	0	163	1	3	9	0	36	0	0	17	0	51	0	0	0
Zotu255	6	10	7	43	118	31	0	2	137	0	76	3	0	267	0	2	1	12	46	0	0	0
Zotu358	3	6	3	0	1	4	0	0	2	0	9	2	0	6	0	2	13	0	0	1	0	0
Zotu150	7	2	0	0	22	23	0	0	0	0	45	4	0	0	0	0	21	0	0	0	0	0
Zotu213	3	16	0	0	7	10	0	0	4	0	1	1	0	4	0	3	4	0	0	0	0	0
Zotu178	4	0	0	0	2	10	0	0	50	0	5	0	0	0	0	0	13	0	0	0	0	0
Zotu60	6	6	0	30	0	26	0	18	86	0	5	81	10	9	0	48	16	31	55	0	0	0
Zotu136	6	10	0	0	1	12	0	0	0	1	18	25	0	13	1	0	57	0	0	0	0	0
