sample ID	forward sequence count	reverse sequence count
3.Eb	672315	672315
1.CA2a	471330	471330
3.CA1b	463703	463703
3.CH2a	437150	437150
2.PA1b	435891	435891
2.PH2a	411106	411106
1.PH1a	408519	408519
4.PH1b	407779	407779
1.CH2a	405875	405875
3.PA1a	386505	386505
4.CH1a	372572	372572
2.Ea	354820	354820
blank.	329997	329997
2.CA2a	307629	307629
1.Ea	297551	297551
mock.	288163	288163
1.PA2a	284584	284584
4.PA2a	282184	282184
3.PH1b	270295	270295
4.CA1a	265796	265796
2.CH1b	263198	263198
4.Ea	205508	205508
