"2023-11-16";"15:23:47";"WinControl (rev 1142) report file"
"Datetime";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR"
"";"";"";"D";"";"Device Nr: #1, DIVING-PAM-II (UWFC0119A) ";""
"2023-11-16 15:08:06.993";"2023-11-16";"15:08:06";"SLCS";"";"Light Curve start ";""
"2023-11-16 15:08:06.993";"2023-11-16";"15:08:06";"REG1";"";"#1: alpha: - , ETRm: - , Ik: -   ( beta: - 0.006, ETRmPot: 24.482 ) ";""
"2023-11-16 15:08:06.993";"2023-11-16";"15:08:06";"REG2";"";"#1: alpha: 0.141, ETRm: 31.154, Ik: 221.151 ";""
"2023-11-16 15:08:08.388";"2023-11-16";"15:08:08";"SCHS";"";"Chart start ";""
"2023-11-16 15:08:08.389";"2023-11-16";"15:08:08";"FO";"1";"56";"227";"0";"0.753";"0.0"
"2023-11-16 15:08:28.379";"2023-11-16";"15:08:28";"F";"2";"95";"229";"25";"0.585";"6.1"
"2023-11-16 15:08:48.359";"2023-11-16";"15:08:48";"F";"3";"116";"220";"45";"0.473";"8.9"
"2023-11-16 15:09:08.351";"2023-11-16";"15:09:08";"F";"4";"125";"209";"66";"0.402";"11.1"
"2023-11-16 15:09:28.345";"2023-11-16";"15:09:28";"F";"5";"130";"204";"91";"0.363";"13.9"
"2023-11-16 15:09:48.328";"2023-11-16";"15:09:48";"F";"6";"137";"202";"127";"0.322";"17.2"
"2023-11-16 15:10:08.318";"2023-11-16";"15:10:08";"F";"7";"151";"203";"192";"0.256";"20.6"
"2023-11-16 15:10:28.305";"2023-11-16";"15:10:28";"F";"8";"162";"200";"288";"0.190";"23.0"
"2023-11-16 15:10:48.302";"2023-11-16";"15:10:48";"F";"9";"170";"200";"424";"0.150";"26.7"
"2023-11-16 15:11:08.287";"2023-11-16";"15:11:08";"F";"10";"175";"196";"634";"0.107";"28.5"
"2023-11-16 15:11:28.275";"2023-11-16";"15:11:28";"F";"11";"177";"194";"828";"0.088";"30.6"
"2023-11-16 15:11:48.261";"2023-11-16";"15:11:48";"F";"12";"177";"191";"1159";"0.073";"35.5"
"2023-11-16 15:12:08.255";"2023-11-16";"15:12:08";"F";"13";"176";"186";"1511";"0.054";"34.3"
"2023-11-16 15:12:11.542";"2023-11-16";"15:12:11";"SLCE";"";"Light Curve end ";""
