1: F - Datetime;1: F - Value;1: Fm' - Datetime;1: Fm' - Value;1: Temp - Datetime;1: Temp - Value;1: Y (II) - Datetime;1: Y (II) - Value;1: ETR - Datetime;1: ETR - Value
2023-11-16 15:08:08.389;56;2023-11-16 15:08:08.389;227;2023-11-16 15:08:08.389;21.7;2023-11-16 15:08:08.389;0.753;2023-11-16 15:08:08.389;0.0
2023-11-16 15:08:28.379;95;2023-11-16 15:08:28.379;229;2023-11-16 15:08:28.379;21.7;2023-11-16 15:08:28.379;0.585;2023-11-16 15:08:28.379;6.1
2023-11-16 15:08:48.359;116;2023-11-16 15:08:48.359;220;2023-11-16 15:08:48.359;21.7;2023-11-16 15:08:48.359;0.473;2023-11-16 15:08:48.359;8.9
2023-11-16 15:09:08.351;125;2023-11-16 15:09:08.351;209;2023-11-16 15:09:08.351;21.7;2023-11-16 15:09:08.351;0.402;2023-11-16 15:09:08.351;11.1
2023-11-16 15:09:28.345;130;2023-11-16 15:09:28.345;204;2023-11-16 15:09:28.345;21.7;2023-11-16 15:09:28.345;0.363;2023-11-16 15:09:28.345;13.9
2023-11-16 15:09:48.328;137;2023-11-16 15:09:48.328;202;2023-11-16 15:09:48.328;21.7;2023-11-16 15:09:48.328;0.322;2023-11-16 15:09:48.328;17.2
2023-11-16 15:10:08.318;151;2023-11-16 15:10:08.318;203;2023-11-16 15:10:08.318;21.7;2023-11-16 15:10:08.318;0.256;2023-11-16 15:10:08.318;20.6
2023-11-16 15:10:28.305;162;2023-11-16 15:10:28.305;200;2023-11-16 15:10:28.305;21.7;2023-11-16 15:10:28.305;0.190;2023-11-16 15:10:28.305;23.0
2023-11-16 15:10:48.302;170;2023-11-16 15:10:48.302;200;2023-11-16 15:10:48.302;21.8;2023-11-16 15:10:48.302;0.150;2023-11-16 15:10:48.302;26.7
2023-11-16 15:11:08.287;175;2023-11-16 15:11:08.287;196;2023-11-16 15:11:08.287;21.8;2023-11-16 15:11:08.287;0.107;2023-11-16 15:11:08.287;28.5
2023-11-16 15:11:28.275;177;2023-11-16 15:11:28.275;194;2023-11-16 15:11:28.275;21.8;2023-11-16 15:11:28.275;0.088;2023-11-16 15:11:28.275;30.6
2023-11-16 15:11:48.261;177;2023-11-16 15:11:48.261;191;2023-11-16 15:11:48.261;21.8;2023-11-16 15:11:48.261;0.073;2023-11-16 15:11:48.261;35.5
2023-11-16 15:12:08.255;176;2023-11-16 15:12:08.255;186;2023-11-16 15:12:08.255;21.8;2023-11-16 15:12:08.255;0.054;2023-11-16 15:12:08.255;34.3
