"2023-11-16";"15:42:16";"WinControl (rev 1142) report file"
"Datetime";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR";"1:NPQ";"1:Fo";"1:Fm";"1:Fv/Fm"
"";"";"";"D";"";"Device Nr: #1, DIVING-PAM-II (UWFC0119A) ";""
"2023-11-16 15:35:08.729";"2023-11-16";"15:35:08";"SLCS";"";"Light Curve start ";""
"2023-11-16 15:35:08.729";"2023-11-16";"15:35:08";"REG1";"";"#1: alpha: - , ETRm: - , Ik: -   ( beta: - 0.005, ETRmPot: 30.831 ) ";""
"2023-11-16 15:35:08.729";"2023-11-16";"15:35:08";"REG2";"";"#1: alpha: 0.154, ETRm: 36.211, Ik: 235.058 ";""
"2023-11-16 15:35:10.125";"2023-11-16";"15:35:10";"SCHS";"";"Chart start ";""
"2023-11-16 15:35:10.126";"2023-11-16";"15:35:10";"FO";"27";"43";"180";"0";"0.761";"0.0";"-";"43";"180";"0.761"
"2023-11-16 15:35:30.114";"2023-11-16";"15:35:30";"F";"28";"70";"181";"25";"0.613";"6.4";"- 0.006";"43";"180";"0.761"
"2023-11-16 15:35:50.098";"2023-11-16";"15:35:50";"F";"29";"85";"173";"45";"0.509";"9.6";"0.040";"43";"180";"0.761"
"2023-11-16 15:36:10.092";"2023-11-16";"15:36:10";"F";"30";"89";"161";"66";"0.447";"12.4";"0.118";"43";"180";"0.761"
"2023-11-16 15:36:30.096";"2023-11-16";"15:36:30";"F";"31";"91";"152";"91";"0.401";"15.3";"0.184";"43";"180";"0.761"
"2023-11-16 15:36:50.090";"2023-11-16";"15:36:50";"F";"32";"96";"149";"126";"0.356";"18.8";"0.208";"43";"180";"0.761"
"2023-11-16 15:37:10.075";"2023-11-16";"15:37:10";"F";"33";"105";"148";"192";"0.291";"23.5";"0.216";"43";"180";"0.761"
"2023-11-16 15:37:30.064";"2023-11-16";"15:37:30";"F";"34";"114";"147";"288";"0.224";"27.1";"0.224";"43";"180";"0.761"
"2023-11-16 15:37:50.054";"2023-11-16";"15:37:50";"F";"35";"122";"146";"424";"0.164";"29.2";"0.233";"43";"180";"0.761"
"2023-11-16 15:38:10.041";"2023-11-16";"15:38:10";"F";"36";"127";"147";"634";"0.136";"36.2";"0.224";"43";"180";"0.761"
"2023-11-16 15:38:30.029";"2023-11-16";"15:38:30";"F";"37";"128";"144";"828";"0.111";"38.6";"0.250";"43";"180";"0.761"
"2023-11-16 15:38:50.019";"2023-11-16";"15:38:50";"F";"38";"131";"141";"1159";"0.071";"34.6";"0.277";"43";"180";"0.761"
"2023-11-16 15:39:10.013";"2023-11-16";"15:39:10";"F";"39";"131";"140";"1510";"0.064";"40.6";"0.286";"43";"180";"0.761"
"2023-11-16 15:39:13.656";"2023-11-16";"15:39:13";"SLCE";"";"Light Curve end ";""
