1: F - Datetime;1: F - Value;1: Fm' - Datetime;1: Fm' - Value;1: Temp - Datetime;1: Temp - Value;1: Y (II) - Datetime;1: Y (II) - Value;1: ETR - Datetime;1: ETR - Value
2023-11-16 15:35:10.126;43;2023-11-16 15:35:10.126;180;2023-11-16 15:35:10.126;21.8;2023-11-16 15:35:10.126;0.761;2023-11-16 15:35:10.126;0.0
2023-11-16 15:35:30.114;70;2023-11-16 15:35:30.114;181;2023-11-16 15:35:30.114;21.8;2023-11-16 15:35:30.114;0.613;2023-11-16 15:35:30.114;6.4
2023-11-16 15:35:50.098;85;2023-11-16 15:35:50.098;173;2023-11-16 15:35:50.098;21.8;2023-11-16 15:35:50.098;0.509;2023-11-16 15:35:50.098;9.6
2023-11-16 15:36:10.092;89;2023-11-16 15:36:10.092;161;2023-11-16 15:36:10.092;21.8;2023-11-16 15:36:10.092;0.447;2023-11-16 15:36:10.092;12.4
2023-11-16 15:36:30.096;91;2023-11-16 15:36:30.096;152;2023-11-16 15:36:30.096;21.8;2023-11-16 15:36:30.096;0.401;2023-11-16 15:36:30.096;15.3
2023-11-16 15:36:50.090;96;2023-11-16 15:36:50.090;149;2023-11-16 15:36:50.090;21.8;2023-11-16 15:36:50.090;0.356;2023-11-16 15:36:50.090;18.8
2023-11-16 15:37:10.075;105;2023-11-16 15:37:10.075;148;2023-11-16 15:37:10.075;21.8;2023-11-16 15:37:10.075;0.291;2023-11-16 15:37:10.075;23.5
2023-11-16 15:37:30.064;114;2023-11-16 15:37:30.064;147;2023-11-16 15:37:30.064;21.8;2023-11-16 15:37:30.064;0.224;2023-11-16 15:37:30.064;27.1
2023-11-16 15:37:50.054;122;2023-11-16 15:37:50.054;146;2023-11-16 15:37:50.054;21.8;2023-11-16 15:37:50.054;0.164;2023-11-16 15:37:50.054;29.2
2023-11-16 15:38:10.041;127;2023-11-16 15:38:10.041;147;2023-11-16 15:38:10.041;21.7;2023-11-16 15:38:10.041;0.136;2023-11-16 15:38:10.041;36.2
2023-11-16 15:38:30.029;128;2023-11-16 15:38:30.029;144;2023-11-16 15:38:30.029;21.7;2023-11-16 15:38:30.029;0.111;2023-11-16 15:38:30.029;38.6
2023-11-16 15:38:50.019;131;2023-11-16 15:38:50.019;141;2023-11-16 15:38:50.019;21.8;2023-11-16 15:38:50.019;0.071;2023-11-16 15:38:50.019;34.6
2023-11-16 15:39:10.013;131;2023-11-16 15:39:10.013;140;2023-11-16 15:39:10.013;21.7;2023-11-16 15:39:10.013;0.064;2023-11-16 15:39:10.013;40.6
