#,Date-Time (HST),Ch: 1 - Temperature   (°C ),Ch: 2 - Light   (lux)
1,08/12/2022 23:59:59,26.17,0.00
2,08/13/2022 00:00:59,26.17,0.00
3,08/13/2022 00:01:59,26.21,0.00
4,08/13/2022 00:02:59,26.21,0.00
5,08/13/2022 00:03:59,26.21,0.00
6,08/13/2022 00:04:59,26.17,0.00
7,08/13/2022 00:05:59,26.17,0.00
8,08/13/2022 00:06:59,26.12,0.00
9,08/13/2022 00:07:59,26.17,0.00
10,08/13/2022 00:08:59,26.12,0.00
11,08/13/2022 00:09:59,26.17,0.00
12,08/13/2022 00:10:59,26.17,0.00
13,08/13/2022 00:11:59,26.21,0.00
14,08/13/2022 00:12:59,26.17,0.00
15,08/13/2022 00:13:59,26.17,0.00
16,08/13/2022 00:14:59,26.21,0.00
17,08/13/2022 00:15:59,26.12,0.00
18,08/13/2022 00:16:59,26.12,0.00
19,08/13/2022 00:17:59,26.12,0.00
20,08/13/2022 00:18:59,26.17,0.00
21,08/13/2022 00:19:59,26.17,0.00
22,08/13/2022 00:20:59,26.12,0.00
23,08/13/2022 00:21:59,26.17,0.00
24,08/13/2022 00:22:59,26.17,0.00
25,08/13/2022 00:23:59,26.17,0.00
26,08/13/2022 00:24:59,26.12,0.00
27,08/13/2022 00:25:59,26.12,0.00
28,08/13/2022 00:26:59,26.12,0.00
29,08/13/2022 00:27:59,26.21,0.00
30,08/13/2022 00:28:59,26.17,0.00
31,08/13/2022 00:29:59,26.17,0.00
32,08/13/2022 00:30:59,26.12,0.00
33,08/13/2022 00:31:59,26.12,0.00
34,08/13/2022 00:32:59,26.12,0.00
35,08/13/2022 00:33:59,26.12,0.00
36,08/13/2022 00:34:59,26.12,0.00
37,08/13/2022 00:35:59,26.17,0.00
38,08/13/2022 00:36:59,26.12,0.00
39,08/13/2022 00:37:59,26.12,0.20
40,08/13/2022 00:38:59,26.12,0.00
41,08/13/2022 00:39:59,26.12,0.00
42,08/13/2022 00:40:59,26.12,0.00
43,08/13/2022 00:41:59,26.12,0.00
44,08/13/2022 00:42:59,26.08,0.00
45,08/13/2022 00:43:59,26.12,0.00
46,08/13/2022 00:44:59,26.12,0.00
47,08/13/2022 00:45:59,26.17,0.00
48,08/13/2022 00:46:59,26.12,0.00
49,08/13/2022 00:47:59,26.12,0.00
50,08/13/2022 00:48:59,26.08,0.00
51,08/13/2022 00:49:59,26.12,0.00
52,08/13/2022 00:50:59,26.12,0.00
53,08/13/2022 00:51:59,26.12,0.00
54,08/13/2022 00:52:59,26.12,0.00
55,08/13/2022 00:53:59,26.08,0.00
56,08/13/2022 00:54:59,26.12,0.00
57,08/13/2022 00:55:59,26.08,0.00
58,08/13/2022 00:56:59,26.12,0.00
59,08/13/2022 00:57:59,26.12,0.00
60,08/13/2022 00:58:59,26.12,0.00
61,08/13/2022 00:59:59,26.08,0.00
62,08/13/2022 01:00:59,26.12,0.00
63,08/13/2022 01:01:59,26.08,0.00
64,08/13/2022 01:02:59,26.12,0.00
65,08/13/2022 01:03:59,26.08,0.00
66,08/13/2022 01:04:59,26.12,0.00
67,08/13/2022 01:05:59,26.08,0.00
68,08/13/2022 01:06:59,26.08,0.00
69,08/13/2022 01:07:59,26.08,0.00
70,08/13/2022 01:08:59,26.08,0.00
71,08/13/2022 01:09:59,26.08,0.00
72,08/13/2022 01:10:59,26.08,0.00
73,08/13/2022 01:11:59,26.08,0.00
74,08/13/2022 01:12:59,26.04,0.00
75,08/13/2022 01:13:59,26.08,0.00
76,08/13/2022 01:14:59,26.04,0.00
77,08/13/2022 01:15:59,26.08,0.20
78,08/13/2022 01:16:59,26.08,0.00
79,08/13/2022 01:17:59,26.08,0.00
80,08/13/2022 01:18:59,26.04,0.00
81,08/13/2022 01:19:59,26.04,0.00
82,08/13/2022 01:20:59,26.08,0.00
83,08/13/2022 01:21:59,26.04,0.00
84,08/13/2022 01:22:59,26.04,0.00
85,08/13/2022 01:23:59,26.04,0.00
86,08/13/2022 01:24:59,26.04,0.00
87,08/13/2022 01:25:59,26.04,0.00
88,08/13/2022 01:26:59,25.99,0.00
89,08/13/2022 01:27:59,26.04,0.00
90,08/13/2022 01:28:59,26.04,0.00
91,08/13/2022 01:29:59,26.04,0.00
92,08/13/2022 01:30:59,26.04,0.00
93,08/13/2022 01:31:59,26.04,0.00
