otu name	Taxonomy	Percent Homology	evalue	bitscore	homology extract gibbsfree_otu/gibbsfree_homolog	total length gibbsfree_otu/otu_lenth/gibbsfree_homolog/homolog_length	1-CA2a	1-CH2a	1-Ea	1-PA2a	1-PH1a	2-CA2a	2-CH1b	2-Ea	2-PA1b	2-PH2a	3-CA1b	3-CH2a	3-Eb	3-PA1a	3-PH1b	4-CA1a	4-CH1a	4-Ea	4-PA2a	4-PH1b	blank-060823STillcus515F	mock-060823STillcus515F	
Zotu1	endozoicomonas montiporae  ;k__bacteria;p__proteobacteria;c__gammaproteobacteria;o__oceanospirillales;f__endozoicomonadaceae;g__endozoicomonas;s__endozoicomonas montiporae; superkingdom__bacteria;	100	1.22023e-126	457.539			33071	31737	33127	26012	7927	30493	0	30269	20889	1	27664	29283	33537	14789	5	26130	494	27856	20767	0	0	0
Zotu2	ay345894.1 photobacterium phosphoreum ak9  ;k__bacteria;p__proteobacteria;c__gammaproteobacteria;o__vibrionales;f__vibrionaceae;g__photobacterium;s__photobacterium phosphoreum;superkingdom__bacteria	100	1.22023e-126	457.539			8	10	0	4	2828	10	8119	0	46	16013	9	18	21	12	19024	21	2037	0	0	13939	0	0
Zotu3	fj596644.1 acinetobacter junii str. p1  ;k__bacteria;p__proteobacteria;c__gammaproteobacteria;o__moraxellales;f__moraxellaceae;g__acinetobacter;s__acinetobacter junii; superkingdom__bacteria;	100	1.22023e-126	457.539			44	128	91	642	47	231	0	793	0	7	0	455	0	65	0	1056	289	743	1838	0	30545	2
Zotu4	y16800.1 propionigenium maris str. ml_1  ;k__bacteria;p__fusobacteria;c__fusobacteriia;o__fusobacteriales;f__fusobacteriaceae;g__propionigenium;s__propionigenium maris;superkingdom__bacteria	100	4.23984e-126	455.735			1	0	3	0	1	0	14499	0	33	55	3	0	7	0	1703	0	0	0	0	4926	0	0
Zotu5	x95459.1 methylophaga marina str. dsm 5989  ;k__bacteria;p__proteobacteria;c__gammaproteobacteria;o__thiotrichales;f__piscirickettsiaceae;g__methylophaga;s__methylophaga marina;superkingdom__bacteria	96.0474308300395	4.55139e-113	412.454			2	27	0	702	1692	0	0	0	4918	64	0	0	0	6547	304	0	0	0	3207	135	0	0
Zotu7	fusibacter paucivorans  ;k__bacteria;p__firmicutes;c__clostridia;o__eubacteriales;f__eubacteriales family xii. incertae sedis;g__fusibacter;s__fusibacter paucivorans;superkingdom__bacteria;	94.8412698412698	3.48334e-108	396.224			2	2	0	19	8712	0	30	0	28	1292	0	27	1	2	0	0	85	0	20	1636	0	0
Zotu8	ab245515.1 deselenobacterium futtsum str. fut3661  ;k__bacteria;p__proteobacteria;c__gammaproteobacteria;o__alteromonadales;f__ferrimonadaceae;g__ferrimonas;s__ferrimonas futtsum;superkingdom__bacteria	100	1.22023e-126	457.539			0	2	0	11	1143	0	23	0	38	3859	5	8	0	0	2511	0	1328	0	24	2835	1	0
Zotu9	thalassomonas sediminis ;k__bacteria;p__proteobacteria;c__gammaproteobacteria;o__alteromonadales;f__colwelliaceae;g__thalassomonas;s__thalassomonas sediminis;superkingdom__bacteria	96.8379446640316	8.78625e-116	421.471			168	20	0	17	2	4	1	0	30	1	52	197	0	0	0	45	11468	0	35	0	0	0
Zotu10	thalassomonas loyana ;k__bacteria;p__proteobacteria;c__gammaproteobacteria;o__alteromonadales;f__colwelliaceae;g__thalassotalea;s__thalassomonas loyana;superkingdom__bacteria	98.4189723320158	3.27433e-121	439.505			48	111	0	37	147	174	5	0	404	11	1287	53	0	16	2	0	5507	0	32	7	0	0
Zotu12	fj907186.1 bacillus subtilis 3  ;k__bacteria;p__firmicutes;c__bacilli;o__bacillales;f__bacillaceae;g__bacillus;s__bacillus subtilis;superkingdom__bacteria	100	1.22023e-126	457.539			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4133
Zotu13	eu460895.1 short_beaked echidna feces clone ech_aai40b07  ;k__bacteria;p__firmicutes;c__bacilli;o__lactobacillales;f__lactobacillaceae;g__lactobacillus;s__lactobacillus fermentum;superkingdom__bacteria	100	1.22023e-126	457.539			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4106
Zotu14	ay345894.1 photobacterium phosphoreum ak9  ;k__bacteria;p__proteobacteria;c__gammaproteobacteria;o__vibrionales;f__vibrionaceae;g__photobacterium;s__photobacterium phosphoreum;superkingdom__bacteria	99.2094861660079	6.32095e-124	448.522			0	0	0	0	111	0	86	0	0	1297	0	0	0	0	1279	0	29	0	0	1058	0	0
Zotu15	marinifilum fragile  ;k__bacteria;p__bacteroidetes;c__bacteroidia;o__marinilabiliales;f__marinifilaceae;g__marinifilum;s__marinifilum fragile; superkingdom__bacteria;	93.6758893280632	6.32653e-105	385.404			0	2	0	6	274	1	1863	0	7	614	1	0	0	10	102	0	363	0	4	928	0	0
Zotu17	y16800.1 propionigenium maris str. ml_1  ;k__bacteria;p__fusobacteria;c__fusobacteriia;o__fusobacteriales;f__fusobacteriaceae;g__propionigenium;s__propionigenium maris;superkingdom__bacteria	99.2063492063492	2.19629e-123	446.718			0	0	0	0	1	0	295	0	0	55	0	0	0	0	3265	0	0	0	0	3	0	0
Zotu18	desulfocapsa sulfexigens ;k__bacteria;p__proteobacteria;c__deltaproteobacteria;o__desulfobacterales;f__desulfocapsaceae;g__desulfocapsa;s__desulfocapsa sulfexigens; subphylum__delta/epsilon subdivisions;superkingdom__bacteria;	87.7470355731225	2.69249e-84	316.876			0	0	7	2740	0	47	0	0	0	0	0	0	72	1143	4	0	17	96	0	0	0	0
Zotu19	am885869.1 alteromonas macleodii r_28696  ;k__bacteria;p__proteobacteria;c__gammaproteobacteria;o__alteromonadales;f__alteromonadaceae;g__alteromonas;s__alteromonas macleodii;superkingdom__bacteria	100	1.22023e-126	457.539			25	45	0	69	758	436	1	0	1009	43	323	36	4	701	14	27	380	0	227	68	0	0
Zotu20	ab245515.1 deselenobacterium futtsum str. fut3661  ;k__bacteria;p__proteobacteria;c__gammaproteobacteria;o__alteromonadales;f__ferrimonadaceae;g__ferrimonas;s__ferrimonas futtsum;superkingdom__bacteria	99.2094861660079	6.32095e-124	448.522			0	0	0	0	81	0	3	0	0	975	0	0	0	0	937	0	28	0	0	840	0	0
Zotu21	photococcus caeruleum ;k__bacteria;p__proteobacteria;c__gammaproteobacteria;o__vibrionales;f__vibrionaceae;g__photococcus;s__photococcus caeruleum;superkingdom__bacteria	99.2094861660079	6.32095e-124	448.522			0	0	0	0	203	0	205	0	1	1023	0	0	0	0	643	0	25	0	0	731	0	0
Zotu22	aj717376.1 staphylococcus pasteuri cv5  ;k__bacteria;p__firmicutes;c__bacilli;o__bacillales;f__staphylococcaceae;g__staphylococcus;s__staphylococcus pasteuri;superkingdom__bacteria	100	1.22023e-126	457.539			5	1	5	29	0	1	0	17	0	1	0	15	0	0	0	57	1	0	21	0	13	2935
Zotu23	y16800.1 propionigenium maris str. ml_1  ;k__bacteria;p__fusobacteria;c__fusobacteriia;o__fusobacteriales;f__fusobacteriaceae;g__propionigenium;s__propionigenium maris;superkingdom__bacteria	99.6031746031746	1.80282e-124	450.325			0	0	0	0	0	0	2051	0	0	0	0	0	0	0	11	0	0	0	0	394	0	0
Zotu24	y16800.1 propionigenium maris str. ml_1  ;k__bacteria;p__fusobacteria;c__fusobacteriia;o__fusobacteriales;f__fusobacteriaceae;g__propionigenium;s__propionigenium maris;superkingdom__bacteria	99.6031746031746	1.80282e-124	450.325			0	0	0	0	0	0	2143	0	0	0	0	0	0	0	13	0	0	0	0	438	0	0
Zotu25	alteromonas macleodii ;k__bacteria;p__proteobacteria;c__gammaproteobacteria;o__alteromonadales;f__alteromonadaceae;g__alteromonas;s__alteromonas macleodii;superkingdom__bacteria	98.4189723320158	3.27433e-121	439.505			20	46	0	18	62	88	0	0	599	14	314	15	0	60	0	6	1132	0	398	1	0	0
Zotu26	nc_008555.1 listeria welshimeri serovar 6b str. slcc5334  ;k__bacteria;p__firmicutes;c__bacilli;o__bacillales;f__listeriaceae;g__listeria;s__listeria welshimeri;superkingdom__bacteria	100	1.22023e-126	457.539			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2696
Zotu27	fusibacter paucivorans  ;k__bacteria;p__firmicutes;c__clostridia;o__eubacteriales;f__eubacteriales family xii. incertae sedis;g__fusibacter;s__fusibacter paucivorans;superkingdom__bacteria;	95.2380952380952	8.19204e-110	401.634			0	5	0	18	45	0	28	0	25	1755	4	2	0	24	7	0	188	0	37	30	0	0
Zotu28	y16800.1 propionigenium maris str. ml_1  ;k__bacteria;p__fusobacteria;c__fusobacteriia;o__fusobacteriales;f__fusobacteriaceae;g__propionigenium;s__propionigenium maris;superkingdom__bacteria	99.2063492063492	2.19629e-123	446.718			0	0	0	0	0	0	1389	0	9	0	0	0	0	0	8	0	0	0	0	354	0	0
Zotu29	aestuariibacter aggregatus ;k__bacteria;p__proteobacteria;c__gammaproteobacteria;o__alteromonadales;f__alteromonadaceae;g__aestuariibacter;s__aestuariibacter aggregatus;superkingdom__bacteria	100	1.22023e-126	457.539			11	12	0	25	569	32	0	0	969	7	9	11	0	699	2	18	13	0	51	3	0	0
Zotu30	neptuniibacter halophilus ;k__bacteria;p__proteobacteria;c__gammaproteobacteria;o__oceanospirillales;f__oceanospirillaceae;g__neptuniibacter;s__neptuniibacter halophilus;superkingdom__bacteria	97.6284584980237	1.69615e-118	430.488			3	0	0	24	718	8	1	0	471	26	20	0	0	410	0	0	64	0	76	1	0	0
Zotu31	eu009196.1 shigella sonnei str. fbd022   ;k__bacteria;p__proteobacteria;c__gammaproteobacteria;o__enterobacterales;f__enterobacteriaceae;g__shigella;s__shigella sonnei; superkingdom__bacteria;	100	1.22023e-126	457.539			0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1671
Zotu32	ay345894.1 photobacterium phosphoreum ak9  ;k__bacteria;p__proteobacteria;c__gammaproteobacteria;o__vibrionales;f__vibrionaceae;g__photobacterium;s__photobacterium phosphoreum;superkingdom__bacteria	98.8142292490119	2.68774e-122	444.013			0	0	0	0	51	0	22	0	0	667	0	0	0	0	589	0	16	0	0	520	0	0
Zotu33	ab245515.1 deselenobacterium futtsum str. fut3661  ;k__bacteria;p__proteobacteria;c__gammaproteobacteria;o__alteromonadales;f__ferrimonadaceae;g__ferrimonas;s__ferrimonas futtsum;superkingdom__bacteria	98.8142292490119	2.68774e-122	444.013			0	0	0	0	63	0	3	0	0	627	0	0	0	1	641	0	10	0	0	569	0	0
